,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1204,hsa-miR-1224-3p,hsa-miR-1237-5p,hsa-miR-125a-3p,hsa-miR-1271-5p,hsa-miR-1273h-5p,hsa-miR-1279,hsa-miR-1285-3p,hsa-miR-1288-5p,hsa-miR-1294,hsa-miR-1296-3p,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-18b-3p,hsa-miR-18b-5p,hsa-miR-1911-3p,hsa-miR-192-5p,hsa-miR-193b-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-19b-2-5p,hsa-miR-2114-3p,hsa-miR-2115-3p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-218-1-3p,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-31-5p,hsa-miR-3127-3p,hsa-miR-3129-5p,hsa-miR-3136-3p,hsa-miR-3146,hsa-miR-3164,hsa-miR-3168,hsa-miR-3184-5p,hsa-miR-3186-3p,hsa-miR-3188,hsa-miR-3614-3p,hsa-miR-3620-5p,hsa-miR-3656,hsa-miR-3657,hsa-miR-3663-5p,hsa-miR-3665,hsa-miR-3680-5p,hsa-miR-3681-5p,hsa-miR-3684,hsa-miR-369-3p,hsa-miR-3713,hsa-miR-378e,hsa-miR-378f,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3914,hsa-miR-3927-5p,hsa-miR-3938,hsa-miR-3945,hsa-miR-411-3p,hsa-miR-423-3p,hsa-miR-4254,hsa-miR-4273,hsa-miR-4279,hsa-miR-4306,hsa-miR-4420,hsa-miR-4441,hsa-miR-4446-3p,hsa-miR-4453,hsa-miR-4469,hsa-miR-4470,hsa-miR-4474-5p,hsa-miR-4496,hsa-miR-4515,hsa-miR-4526,hsa-miR-4640-5p,hsa-miR-4641,hsa-miR-4646-3p,hsa-miR-4662a-3p,hsa-miR-4676-3p,hsa-miR-4678,hsa-miR-4680-3p,hsa-miR-4692,hsa-miR-4699-5p,hsa-miR-4704-5p,hsa-miR-4720-3p,hsa-miR-4740-3p,hsa-miR-4750-3p,hsa-miR-4773,hsa-miR-4776-5p,hsa-miR-4798-3p,hsa-miR-4798-5p,hsa-miR-4800-3p,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-5011-5p,hsa-miR-502-5p,hsa-miR-5092,hsa-miR-5100,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-520c-3p,hsa-miR-541-5p,hsa-miR-545-3p,hsa-miR-548aq-3p,hsa-miR-548m,hsa-miR-548z,hsa-miR-5579-3p,hsa-miR-5582-3p,hsa-miR-5584-5p,hsa-miR-5586-3p,hsa-miR-567,hsa-miR-5680,hsa-miR-5681a,hsa-miR-5690,hsa-miR-579-5p,hsa-miR-6072,hsa-miR-6084,hsa-miR-624-3p,hsa-miR-634,hsa-miR-6499-5p,hsa-miR-657,hsa-miR-658,hsa-miR-665,hsa-miR-6737-5p,hsa-miR-6743-3p,hsa-miR-6754-5p,hsa-miR-6757-3p,hsa-miR-6764-5p,hsa-miR-6777-3p,hsa-miR-6781-5p,hsa-miR-6789-3p,hsa-miR-6791-3p,hsa-miR-6801-5p,hsa-miR-6804-5p,hsa-miR-6832-5p,hsa-miR-6834-3p,hsa-miR-6850-3p,hsa-miR-6861-3p,hsa-miR-6862-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6876-3p,hsa-miR-6883-3p,hsa-miR-6891-3p,hsa-miR-7151-5p,hsa-miR-7161-3p,hsa-miR-762,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-8059,hsa-miR-8084,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-922,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-934,hsa-miR-938,hsa-miR-939-5p,hsa-miR-942-3p,hsa-miR-95-3p,Disese Group
sample_11,1111278.92,1489.25,89385.83,298.5,14.0,0.0,99.5,0.0,360.67,176.0,0.0,0.0,0.0,0.0,25.0,2.0,10.0,19.0,11.0,3000.66,18010.17,1.0,1.0,0.0,72254.67,219.0,8.5,1347.83,0.0,5.0,15.0,15.0,179.5,3754.0,3.0,96.0,480627.32,428694.33,11.5,172346.34,15226.75,10.5,2.0,0.0,0.0,5.0,0.0,1553.29,2.0,0.0,0.0,0.0,0.25,10.0,2.0,0.0,0.0,8.0,2.0,3089.5,0.0,0.0,1.0,5.75,47.0,0.0,0.0,1.0,0.0,43.0,1553.29,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,13.5,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.5,3.0,15.0,0.0,657.08,278.0,80.08,16.0,1.0,27.58,0.0,0.0,15.0,6.0,0.67,1.0,13.58,0.0,11.0,0.0,2.0,1.0,0.0,16.5,0.0,8.0,0.0,6.0,13.0,0.0,0.0,17.0,0.0,0.0,1.0,5.0,3.0,0.0,2.0,1.0,0.0,23.0,7.5,0.0,3.0,12.0,0.0,0.0,6.0,1.0,0.0,2.08,1.0,172.17,45.5,0.0,81.5,1.0,1.0,0.0,0.0,7297.08,2.33,0.0,0.0,1592.67,53.0,412.0,0.0,32250.5,259.5,1.0,0.0,1.0,0.0,19694.33,0
sample_12,1133107.14,1439.0,95560.5,268.5,18.0,0.0,61.0,0.0,286.5,224.5,0.0,0.0,0.0,0.0,33.0,1.0,12.0,36.0,3.0,1916.84,16225.0,1.0,1.0,0.0,70021.42,214.0,13.0,1526.0,0.0,1.0,12.0,23.0,217.0,3708.75,5.0,185.0,427882.82,372735.0,5.75,148707.41,12496.33,13.0,2.0,0.0,4.0,4.0,0.0,1742.62,2.0,0.0,0.0,0.0,0.0,7.5,7.0,0.0,2.0,4.0,3.0,2135.25,0.0,0.0,1.0,7.0,27.0,0.0,0.0,4.0,0.0,77.5,1742.62,8.0,0.0,0.0,1.08,0.0,0.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,6.0,3.5,5.0,14.33,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,30.0,0.0,664.08,218.0,55.0,23.0,0.0,22.0,0.0,0.0,6.0,6.0,0.67,6.0,10.0,0.0,10.5,0.0,1.0,1.0,0.0,12.0,0.0,7.0,0.0,5.0,11.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,23.0,5.0,0.0,2.0,12.0,0.0,1.0,12.0,4.0,0.0,0.75,0.0,118.0,48.0,0.0,58.0,0.0,0.0,0.0,0.0,4826.75,5.33,0.0,0.0,1136.17,46.25,214.0,0.0,45909.0,312.0,0.0,0.0,0.0,2.0,18516.17,0
sample_13,907331.1,1101.5,71403.0,281.5,7.0,0.0,50.75,0.0,292.75,246.5,0.0,0.0,0.0,0.0,20.0,2.0,9.0,30.0,3.5,1852.0,17954.92,1.0,3.5,0.0,71387.08,162.0,7.5,1201.83,0.0,2.0,17.0,14.0,151.0,7021.0,5.0,126.0,406255.16,377848.67,6.0,134614.67,12611.33,9.0,3.0,2.0,4.0,7.0,0.25,1464.75,0.0,2.0,1.0,0.0,0.0,6.0,2.0,0.0,2.0,8.0,1.0,1834.58,0.0,0.0,0.33,5.08,32.5,0.0,0.0,0.0,0.0,15.0,1464.75,4.0,0.0,0.0,0.25,0.0,0.0,0.0,1.58,1.0,7.0,0.0,0.0,1.0,3.0,0.0,3.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.5,3.0,30.0,0.0,654.67,161.5,48.58,17.5,0.0,8.33,0.0,0.0,14.0,7.0,0.67,2.0,13.0,0.0,8.0,0.0,2.0,2.0,1.0,11.5,0.0,2.0,0.5,3.0,14.0,0.0,0.0,11.0,0.0,0.0,2.0,2.0,6.0,0.0,3.0,0.0,0.0,22.0,2.0,1.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.5,3.0,56.0,46.0,0.0,53.5,0.0,0.0,0.0,0.0,5602.5,8.33,0.0,0.0,1364.42,25.75,345.0,0.0,26757.5,236.0,1.0,0.0,2.83,0.0,17101.92,0
sample_14,998615.48,1523.5,104944.25,169.33,9.0,0.0,123.0,0.0,398.67,206.5,0.0,0.0,0.0,0.0,28.0,2.0,16.0,32.5,4.0,1024.0,12357.17,0.0,3.0,0.0,55595.0,282.5,30.0,1962.67,0.0,0.0,8.0,19.0,155.5,1906.0,5.0,181.0,415483.32,290152.42,4.5,114161.91,17741.5,13.5,1.0,2.0,5.0,3.0,0.0,2088.5,2.0,4.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,4.0,1551.5,0.0,0.5,0.0,6.08,41.0,0.0,0.0,4.0,0.0,31.0,2088.5,7.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,5.0,2.0,3.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0,21.0,1.0,894.17,156.0,66.42,19.0,0.0,12.0,0.0,0.0,10.5,7.5,1.0,5.0,6.0,0.0,29.0,0.0,0.0,1.0,3.0,13.0,0.0,7.0,1.0,5.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,2.5,6.33,0.0,4.0,0.0,2.0,30.0,4.0,1.0,1.0,18.0,0.0,1.0,4.0,2.0,0.0,3.5,0.0,115.17,35.0,1.0,49.5,1.0,2.0,0.0,0.0,5622.92,9.33,0.0,0.0,1075.67,48.5,433.0,0.0,38005.34,264.0,0.0,0.0,4.0,0.0,14225.67,0
sample_15,1416219.62,501.25,185912.83,398.5,11.0,0.0,87.0,0.0,313.0,465.33,0.0,0.0,0.0,0.0,18.0,1.0,39.0,15.0,4.5,529.5,6769.67,1.0,0.75,0.0,37588.5,206.0,27.0,2339.67,0.0,4.0,18.0,13.0,175.5,5549.33,5.0,38.0,762730.98,272807.33,8.75,58985.34,18150.0,43.83,1.0,1.0,4.0,7.0,0.0,3511.08,0.5,2.0,0.0,0.0,0.0,5.0,21.0,0.0,1.0,1.0,2.0,1301.5,0.0,0.75,0.0,19.08,12.0,0.0,0.0,8.0,0.0,25.0,3509.33,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,4.0,19.67,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,31.0,0.0,3866.75,505.0,109.58,18.5,0.0,23.0,0.0,0.0,2.0,1.0,0.0,12.0,2.0,0.0,11.5,0.0,2.0,2.0,3.0,3.5,0.0,4.0,0.0,5.0,10.0,0.0,0.0,15.0,0.0,1.0,1.0,2.0,7.33,0.0,5.0,1.0,0.0,18.0,8.5,0.0,1.0,14.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,54.83,28.0,0.0,74.0,0.0,1.0,0.0,0.0,6402.92,15.33,0.0,0.0,625.67,65.08,360.0,0.0,59470.0,328.0,0.0,0.0,5.83,2.0,9118.58,0
sample_16,975637.65,1309.0,72512.67,229.0,8.0,0.0,145.0,0.0,337.83,263.33,0.0,0.0,0.0,0.0,45.0,2.0,11.0,19.5,4.5,2591.66,16945.92,2.0,2.25,0.0,70223.0,193.0,4.0,1653.83,0.0,5.0,14.0,12.0,122.5,3136.5,8.0,109.0,510676.98,340826.92,4.17,131022.0,12703.33,12.0,0.0,2.0,5.0,5.0,0.0,1695.04,0.0,0.0,0.0,0.0,0.0,6.5,8.0,0.0,2.0,1.0,2.0,1943.5,0.0,0.0,0.33,4.5,28.0,0.0,0.0,4.0,0.0,29.5,1695.04,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,14.0,0.0,0.0,0.0,8.0,4.5,5.0,19.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,23.0,0.0,799.67,161.0,70.5,16.0,0.0,25.0,0.0,0.0,18.5,7.0,1.0,3.0,11.33,0.0,19.5,0.0,1.0,0.0,1.0,13.0,0.0,4.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,1.0,0.0,18.0,5.0,0.0,1.0,6.0,0.0,1.0,3.0,3.0,0.0,3.0,5.0,82.33,38.0,1.0,44.0,0.0,0.0,0.0,0.0,5419.33,3.33,0.0,0.0,1273.75,52.25,492.0,0.0,30789.0,256.0,0.0,0.0,2.5,0.0,17816.67,0
sample_17,1218576.91,1462.75,94602.33,289.5,8.0,0.0,161.0,0.0,426.5,218.0,0.0,0.0,0.0,0.0,39.0,2.0,7.0,19.5,6.5,1744.5,14944.0,4.0,1.0,0.0,76559.25,253.0,61.0,1884.5,1.0,2.0,8.0,10.0,113.0,4469.83,4.0,163.0,483656.82,368519.0,10.0,155544.34,15234.5,11.33,3.0,2.0,8.0,2.0,0.33,2545.12,2.0,4.0,0.0,0.0,0.0,5.83,7.0,0.0,1.0,4.0,8.0,2210.75,0.0,0.25,1.67,10.17,32.0,0.0,0.0,6.0,0.0,38.5,2545.12,1.0,0.0,0.0,1.5,0.0,0.0,2.0,1.0,1.0,14.0,0.0,0.0,1.0,7.0,1.0,2.0,17.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,40.0,0.0,875.17,281.0,64.17,16.0,1.0,17.33,0.0,0.0,8.0,4.0,0.67,3.0,6.17,0.0,33.0,0.0,0.0,1.0,0.0,7.0,0.0,6.0,0.5,10.0,4.0,0.0,0.0,12.5,0.0,0.0,0.0,5.5,7.0,0.0,2.0,0.0,0.0,21.0,6.5,0.0,2.0,15.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,1.0,59.5,0.0,65.0,0.0,0.0,0.0,0.0,5462.5,8.0,0.0,0.0,1377.08,66.33,351.0,0.0,42293.16,260.0,0.0,0.0,4.0,1.0,21462.0,0
sample_18,1272135.61,1154.5,126632.92,321.0,27.0,0.0,47.5,1.0,294.33,215.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,19.0,8.0,3075.66,18997.0,0.0,0.0,0.0,70163.83,164.0,47.5,1120.0,0.0,3.0,11.0,52.0,174.0,2972.5,4.0,380.0,422444.98,463757.17,8.5,169352.59,28746.25,12.0,1.0,0.0,5.0,4.0,0.33,1499.17,1.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,1.0,9.0,3136.83,0.0,0.0,1.67,4.25,12.0,0.0,0.0,0.0,0.0,29.5,1499.17,5.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,4.0,3.0,2.0,8.33,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,54.0,0.0,410.83,353.0,55.5,16.0,0.0,26.0,0.0,0.0,15.5,3.5,1.33,3.0,10.0,0.0,8.0,0.0,0.0,1.0,2.0,12.0,0.0,8.0,0.0,8.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,7.33,0.0,2.0,0.0,1.0,22.0,1.0,0.0,1.0,8.0,0.0,2.0,3.0,0.0,0.0,2.5,0.0,154.0,66.0,0.0,61.0,0.0,1.0,0.0,0.0,5339.5,3.67,0.0,0.0,1295.83,21.0,301.0,0.0,27854.0,244.0,0.0,0.0,1.67,0.0,21170.0,0
sample_19,601240.79,924.0,43487.83,164.5,4.0,0.0,68.25,0.0,242.17,128.33,0.0,0.0,0.0,0.0,15.0,0.0,6.0,2.5,2.5,1078.0,8139.58,2.0,1.0,0.0,43130.25,248.5,7.0,1330.0,0.0,2.0,7.0,4.0,107.0,2035.5,4.0,80.0,224900.82,174504.67,6.0,83631.34,7300.25,6.5,0.0,0.0,8.0,1.0,0.33,1716.5,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,3.0,1186.5,0.0,0.0,0.67,7.5,18.5,0.0,0.0,1.0,0.0,40.5,1716.5,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,20.0,0.0,0.0,0.0,10.0,0.0,3.0,9.33,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,16.0,0.0,430.0,139.0,42.5,6.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,4.0,1.5,0.0,9.5,0.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,2.5,12.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,6.33,1.0,1.0,0.0,0.0,16.0,4.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,1.0,4.0,54.0,26.0,2.0,28.33,0.0,0.0,0.0,0.0,2380.5,5.33,0.0,0.0,608.83,29.5,257.0,0.0,23752.5,152.0,0.0,0.0,2.67,0.0,11528.5,0
sample_20,923612.02,1081.0,84369.75,231.0,4.0,0.0,55.5,0.0,291.25,161.5,0.0,0.0,0.0,0.0,13.0,1.0,2.0,5.5,1.5,1457.5,13040.25,2.0,2.0,0.0,56189.83,183.0,2.0,1259.17,0.0,2.0,14.0,21.0,130.5,3179.83,7.0,152.0,335039.32,253280.67,6.25,119657.33,17309.5,9.0,7.0,0.0,2.0,1.0,0.67,2070.92,1.0,0.0,0.0,0.0,0.75,6.0,0.0,0.0,0.0,2.0,1.0,1796.0,0.0,0.0,0.0,3.83,39.0,0.0,0.0,7.0,0.0,23.5,2070.92,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,7.0,0.0,1.0,8.67,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,34.0,1.0,496.5,217.0,31.5,11.0,0.5,12.0,0.0,0.0,8.0,2.0,0.0,0.0,6.25,0.0,4.5,0.0,2.0,0.0,2.0,11.0,0.0,9.0,1.0,4.0,8.0,0.0,0.0,8.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0,1.0,1.0,3.0,3.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,67.33,34.0,0.0,50.33,0.0,0.0,0.0,0.0,4088.75,3.0,0.0,0.0,988.5,30.33,310.0,0.0,30059.0,181.0,0.0,0.0,0.0,0.0,14666.5,0
sample_21,1080106.31,418.75,119319.67,385.0,31.0,0.0,41.0,0.0,270.17,389.0,0.0,0.0,0.0,0.0,9.0,4.0,11.0,9.0,10.0,1119.5,6606.83,0.0,2.5,0.0,32639.83,180.0,55.0,1301.58,1.0,4.0,15.0,17.0,110.5,4370.83,5.0,48.0,730758.82,271530.75,13.5,62845.16,24314.33,24.5,0.0,1.0,1.0,0.0,0.0,2166.25,0.0,11.0,0.0,0.0,0.0,2.5,12.0,0.0,1.0,0.0,1.0,1387.0,0.0,0.0,0.0,7.83,20.0,0.0,0.0,2.0,0.0,50.5,2166.0,4.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,9.0,2.5,1.0,11.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,2462.17,615.0,100.25,17.0,0.0,24.0,0.0,0.0,3.0,3.0,0.0,15.0,4.0,0.0,2.33,0.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,4.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,19.0,2.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,41.0,26.0,0.0,43.5,1.0,1.0,0.0,0.0,5287.33,5.33,0.0,0.0,690.58,25.33,378.33,0.0,30132.16,286.5,0.0,1.0,1.0,0.0,8025.5,0
sample_22,1234320.06,531.75,135104.58,482.5,24.0,0.0,57.5,0.0,367.83,500.17,0.0,0.0,0.0,0.0,9.33,6.0,18.0,9.0,6.0,1777.66,8450.25,3.0,1.0,0.0,49608.08,283.0,23.5,2168.5,0.0,2.0,13.0,19.0,183.5,4553.0,8.0,50.0,984850.64,307651.0,13.25,79757.16,31924.08,36.5,1.0,1.0,4.0,1.0,0.0,3325.96,0.0,22.0,0.0,0.0,0.0,2.5,9.0,0.0,0.0,3.0,2.0,1723.0,0.0,0.0,0.0,11.08,9.0,0.0,0.0,2.0,0.0,46.0,3325.96,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.33,0.0,5.0,0.0,0.0,0.0,11.0,0.0,2.0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,2.0,44.0,0.0,2809.0,581.0,137.25,12.0,0.0,29.25,0.0,0.0,1.0,0.0,0.0,10.0,3.33,0.0,5.33,0.0,0.0,2.0,0.0,5.5,0.0,8.0,0.0,2.0,11.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0,25.0,0.0,1.0,0.0,0.0,18.0,8.5,0.0,0.0,10.0,1.0,0.0,4.0,1.0,0.0,5.83,0.0,1.0,16.0,1.0,49.5,1.0,0.0,0.0,0.0,6211.83,6.67,0.0,0.0,737.33,19.5,540.33,0.0,41207.16,340.0,0.0,0.0,0.0,0.0,11690.17,0
sample_23,1036532.48,767.25,78018.17,248.83,62.0,0.0,76.5,0.0,336.83,238.0,0.0,0.0,0.0,0.0,18.0,1.0,13.0,16.0,5.0,1529.5,8631.08,0.0,2.0,0.0,43934.67,231.0,6.0,1224.0,0.0,2.0,13.0,13.0,108.5,1423.5,3.0,57.0,483931.48,253616.08,3.83,86062.34,15605.83,8.0,2.0,0.0,7.0,0.0,0.33,1372.75,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,3.0,1439.5,0.0,0.0,0.67,2.75,20.0,0.0,0.0,2.0,0.0,45.5,1372.75,3.0,0.0,0.0,0.83,0.0,0.0,2.0,0.33,1.0,5.0,0.0,0.0,0.0,7.0,0.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,14.0,0.0,727.67,215.0,46.0,6.0,0.0,17.0,0.0,0.5,11.5,8.5,0.25,6.0,1.83,0.0,12.0,0.0,2.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,0.5,16.33,0.0,0.0,2.0,1.0,20.0,5.0,0.0,0.0,10.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,52.67,22.0,0.0,29.0,0.0,1.0,0.0,0.0,4522.33,4.33,0.0,0.0,740.5,24.83,298.0,0.0,20490.16,167.0,0.0,0.0,2.0,1.0,12603.25,0
sample_24,1478345.87,840.0,123298.08,249.0,11.0,0.0,83.0,0.0,520.33,365.0,0.0,0.0,0.0,0.0,14.0,0.0,6.0,11.0,10.0,2936.0,13138.42,1.0,1.5,0.0,59061.67,243.0,14.0,1469.25,0.0,1.0,11.0,12.0,244.0,2977.33,4.0,78.0,619079.32,382134.17,5.25,126725.59,18492.0,20.0,1.0,1.0,3.0,6.0,0.0,1607.67,0.0,6.0,0.0,0.0,0.0,1.33,2.0,0.0,1.0,9.0,0.0,1914.5,0.0,0.0,0.33,4.0,27.0,0.0,0.0,4.0,0.0,95.83,1607.17,7.0,0.0,0.0,1.08,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,6.5,1.5,4.0,7.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,936.17,271.0,91.33,10.0,0.0,21.0,0.0,0.0,11.5,8.5,1.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,6.0,0.0,4.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,12.5,0.0,1.0,1.0,0.0,20.0,4.0,0.0,1.0,11.0,0.0,0.0,4.0,1.0,0.0,3.33,0.0,141.08,34.5,0.0,42.0,0.0,0.0,0.0,0.0,6569.67,4.67,0.0,0.0,1096.58,26.0,484.0,0.0,21633.84,256.5,0.0,0.0,0.0,1.0,19701.42,0
sample_25,1858171.88,2626.0,144758.33,519.5,6.0,0.0,199.5,0.0,727.67,576.0,0.0,0.0,0.0,0.0,51.5,5.0,11.0,49.5,11.0,7244.0,31526.92,0.0,4.0,0.0,135796.08,565.0,6.0,2607.83,0.0,4.0,24.5,33.0,341.5,5968.0,16.0,181.0,944099.46,829992.91,12.5,292987.41,23950.42,8.5,1.0,6.0,8.0,9.0,0.0,2411.75,5.0,5.0,0.0,1.0,0.0,15.33,5.0,0.0,1.0,16.0,4.0,3617.0,0.0,0.75,0.67,9.0,82.0,1.0,0.0,9.0,0.0,214.0,2411.75,10.0,0.0,0.0,2.67,0.0,0.0,0.0,1.0,4.0,19.0,1.0,0.0,0.0,6.5,2.0,4.0,12.42,4.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,46.0,0.0,1230.92,350.0,133.83,23.0,0.0,29.33,0.0,0.0,24.5,6.0,1.83,12.0,19.17,0.0,23.5,0.0,1.0,1.0,2.0,18.5,0.0,10.0,0.0,10.0,26.0,0.0,0.0,16.33,0.0,0.0,2.0,2.0,20.0,0.0,5.0,1.0,0.0,30.0,8.0,0.0,0.0,17.0,1.0,0.0,3.0,1.0,0.0,6.25,0.0,272.67,77.0,2.0,82.5,0.0,0.0,0.0,0.0,13602.58,10.67,0.0,0.0,3092.92,43.17,809.0,0.0,46088.34,425.0,0.0,0.0,2.33,2.0,36399.25,0
sample_26,979381.07,1422.75,80560.33,264.0,67.0,0.0,97.0,0.0,299.0,174.0,0.0,0.0,0.0,0.0,17.5,1.0,6.0,23.0,7.0,6058.66,15481.58,0.0,1.5,0.0,79849.58,265.5,8.5,922.0,0.0,1.0,9.0,11.0,124.5,1838.0,7.0,60.0,491347.98,469603.17,6.5,166237.25,15351.75,6.0,1.0,1.0,1.0,2.0,0.0,857.5,0.0,4.0,0.0,0.0,0.25,5.58,2.0,0.0,1.0,11.0,2.0,2963.5,0.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,0.0,218.0,857.5,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,4.0,0.0,1.0,3.33,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,27.0,0.0,404.25,336.0,71.5,13.0,0.0,23.0,0.0,0.0,16.5,2.0,1.0,6.0,14.17,0.0,5.0,0.0,1.0,0.0,0.0,7.0,0.0,15.0,0.0,0.0,4.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,6.33,0.0,1.5,0.0,0.0,26.0,4.5,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,125.92,55.0,1.0,39.5,0.0,0.0,0.0,0.0,7489.92,3.0,0.0,0.0,2170.75,14.75,342.0,0.0,16076.66,185.0,0.0,0.0,0.5,0.0,19040.58,0
