,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-1,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1180-3p,hsa-miR-1182,hsa-miR-1184,hsa-miR-1204,hsa-miR-1224-3p,hsa-miR-1231,hsa-miR-1252-3p,hsa-miR-125a-3p,hsa-miR-1260b,hsa-miR-1261,hsa-miR-1269b,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1292-3p,hsa-miR-1294,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-140-5p,hsa-miR-1470,hsa-miR-147b,hsa-miR-148a-5p,hsa-miR-148b-3p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-1537-3p,hsa-miR-183-5p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-192-5p,hsa-miR-193b-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-1972,hsa-miR-19b-2-5p,hsa-miR-200b-5p,hsa-miR-208a-5p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-2392,hsa-miR-24-2-5p,hsa-miR-26a-5p,hsa-miR-2861,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-31-5p,hsa-miR-3138,hsa-miR-3139,hsa-miR-3150a-5p,hsa-miR-3150b-3p,hsa-miR-3168,hsa-miR-3173-3p,hsa-miR-3184-5p,hsa-miR-3188,hsa-miR-3619-3p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3681-5p,hsa-miR-3689a-5p,hsa-miR-3689f,hsa-miR-369-3p,hsa-miR-378f,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3907,hsa-miR-3922-5p,hsa-miR-3938,hsa-miR-423-3p,hsa-miR-4254,hsa-miR-4270,hsa-miR-4271,hsa-miR-4304,hsa-miR-431-5p,hsa-miR-4431,hsa-miR-4445-5p,hsa-miR-4449,hsa-miR-4466,hsa-miR-4470,hsa-miR-4477a,hsa-miR-4479,hsa-miR-4526,hsa-miR-4537,hsa-miR-4538,hsa-miR-4640-5p,hsa-miR-4642,hsa-miR-4646-3p,hsa-miR-4675,hsa-miR-4676-5p,hsa-miR-4680-3p,hsa-miR-4682,hsa-miR-4688,hsa-miR-4699-3p,hsa-miR-4708-5p,hsa-miR-4713-3p,hsa-miR-4714-5p,hsa-miR-4716-3p,hsa-miR-4723-3p,hsa-miR-4724-5p,hsa-miR-4725-3p,hsa-miR-4745-3p,hsa-miR-4746-5p,hsa-miR-4757-3p,hsa-miR-4770,hsa-miR-4772-3p,hsa-miR-4783-5p,hsa-miR-4798-5p,hsa-miR-483-3p,hsa-miR-484,hsa-miR-493-3p,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-500b-5p,hsa-miR-502-5p,hsa-miR-504-3p,hsa-miR-510-3p,hsa-miR-511-5p,hsa-miR-515-3p,hsa-miR-5189-3p,hsa-miR-5189-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-518f-5p,hsa-miR-520b,hsa-miR-520c-3p,hsa-miR-520c-5p,hsa-miR-520h,hsa-miR-527,hsa-miR-545-3p,hsa-miR-548ac,hsa-miR-548ad,hsa-miR-548ah-3p,hsa-miR-548m,hsa-miR-548u,hsa-miR-550a-5p,hsa-miR-5582-5p,hsa-miR-5587-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5690,hsa-miR-5692c,hsa-miR-5698,hsa-miR-579-5p,hsa-miR-604,hsa-miR-6085,hsa-miR-6124,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6722-3p,hsa-miR-6735-5p,hsa-miR-6753-5p,hsa-miR-6777-3p,hsa-miR-6781-5p,hsa-miR-6789-3p,hsa-miR-6795-3p,hsa-miR-6804-5p,hsa-miR-6810-3p,hsa-miR-6818-5p,hsa-miR-6824-5p,hsa-miR-6826-5p,hsa-miR-6835-5p,hsa-miR-6836-3p,hsa-miR-6846-3p,hsa-miR-6846-5p,hsa-miR-6847-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6883-3p,hsa-miR-6892-3p,hsa-miR-7150,hsa-miR-7157-5p,hsa-miR-7515,hsa-miR-769-3p,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-7855-5p,hsa-miR-7975,hsa-miR-7976,hsa-miR-8060,hsa-miR-8079,hsa-miR-8081,hsa-miR-8082,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-892c-3p,hsa-miR-921,hsa-miR-92a-2-5p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Disese Group
sample_11,1111278.92,1489.25,89385.83,36942.16,298.5,14.0,3299.5,0.0,0.0,0.0,99.5,0.0,15.0,360.67,0.0,0.0,0.0,176.0,43.83,0.0,25.0,6.33,10.0,7219.83,0.0,19.0,11.0,58024.17,11.0,3000.66,16.0,1686961.08,18010.17,1.0,72254.67,219.0,8.5,1347.83,0.0,0.0,11.0,0.0,15.0,179.5,3754.0,96.0,0.0,3.0,480627.32,0.0,428694.33,11.5,172346.34,15226.75,2.0,1.0,4.0,4.0,0.0,4.0,1553.29,0.0,0.0,31.0,2.0,8.0,0.0,0.0,3089.5,1.0,5.75,47.0,0.0,0.0,1.0,1553.29,5.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,12.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,15.0,7.5,657.08,418.17,278.0,80.08,16.0,80.08,27.58,1.0,1.0,7.0,0.0,4.0,0.0,15.0,6.0,0.0,0.67,0.67,0.0,1.5,0.0,13.58,0.0,0.0,0.0,11.0,0.0,2.34,0.0,0.0,18.0,8.0,6.0,0.0,2.0,13.0,0.0,0.0,0.5,10.0,3.0,0.0,1.0,0.0,7.5,0.0,3.0,1.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.08,172.17,45.5,81.5,0.0,0.0,6.0,0.0,1209.75,7297.08,2.33,1.0,0.0,35.0,0.0,0.0,0.0,0.0,1592.67,53.0,412.0,0.0,0.0,0.0,32250.5,259.5,19694.33,0
sample_12,1133107.14,1439.0,95560.5,15356.34,268.5,18.0,3973.33,0.0,0.0,0.0,61.0,1.0,12.0,286.5,0.0,0.0,0.0,224.5,38.0,2.0,33.0,6.67,12.0,6065.67,0.0,36.0,10.0,49536.67,3.0,1916.84,10.0,1516126.83,16225.0,1.0,70021.42,214.0,13.0,1526.0,0.0,0.0,10.0,0.0,23.0,217.0,3708.75,185.0,0.0,4.0,427882.82,0.0,372735.0,5.75,148707.41,12496.33,3.0,0.0,4.0,4.0,0.0,2.0,1742.62,0.0,0.0,12.0,7.0,4.0,0.0,0.0,2135.25,1.0,7.0,27.0,0.0,0.0,4.0,1742.62,8.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,6.0,0.0,0.0,3.5,0.0,14.33,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,3.0,664.08,518.5,218.0,55.0,23.0,55.0,22.0,1.0,1.0,5.0,1.0,2.0,0.0,6.0,6.0,1.0,0.67,0.67,0.0,1.5,0.33,10.0,0.0,0.0,0.0,10.5,1.0,2.24,0.0,0.0,8.5,7.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,1.0,0.0,1.33,0.0,5.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.75,118.0,48.0,58.0,0.0,0.0,5.0,0.0,618.0,4826.75,5.33,1.0,0.0,47.5,0.0,0.0,0.0,0.0,1136.17,46.25,214.0,0.0,0.0,0.0,45909.0,312.0,18516.17,0
sample_13,907331.1,1101.5,71403.0,16270.5,281.5,7.0,3436.5,0.0,0.0,0.0,50.75,0.0,18.0,292.75,0.0,0.0,0.0,246.5,24.0,0.0,20.0,5.75,9.0,5776.0,0.0,30.0,18.0,53538.0,3.5,1852.0,20.0,1419822.0,17954.92,3.5,71387.08,162.0,7.5,1201.83,0.0,0.0,13.0,0.0,14.0,151.0,7021.0,126.0,0.0,5.0,406255.16,0.0,377848.67,6.0,134614.67,12611.33,4.0,0.0,4.5,4.5,0.25,2.0,1464.75,2.0,1.0,10.0,2.0,8.0,0.0,0.0,1834.58,0.33,5.08,32.5,0.0,0.0,0.0,1464.75,4.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,7.0,1.25,2.0,3.0,0.0,0.0,0.0,1.0,8.17,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,30.0,1.5,654.67,343.33,161.5,48.58,17.5,48.58,8.33,0.0,0.0,5.0,0.0,6.0,0.0,14.0,7.0,0.0,0.67,0.67,0.0,1.0,1.67,13.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,9.5,2.0,3.0,0.0,13.0,14.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.5,56.0,46.0,53.5,0.0,0.0,2.0,0.0,939.83,5602.5,8.33,0.0,0.0,41.5,0.0,0.0,0.0,0.0,1364.42,25.75,345.0,0.0,0.0,0.0,26757.5,236.0,17101.92,0
sample_14,998615.48,1523.5,104944.25,22763.66,169.33,9.0,4713.0,0.0,0.0,0.0,123.0,0.0,11.0,398.67,2.0,0.0,0.0,206.5,11.0,1.0,28.0,2.58,16.0,4794.0,0.0,32.5,18.0,37156.33,4.0,1024.0,7.0,1277077.42,12357.17,3.0,55595.0,282.5,30.0,1962.67,0.0,0.0,11.0,0.0,19.0,155.5,1906.0,181.0,0.0,1.0,415483.32,0.0,290152.42,4.5,114161.91,17741.5,1.0,0.0,3.5,3.5,0.0,0.0,2088.5,4.0,1.0,3.0,4.0,1.0,0.0,0.0,1551.5,0.0,6.08,41.0,0.0,0.0,4.0,2088.5,7.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,8.0,0.33,1.0,5.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,3.5,6.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,21.0,4.5,894.17,552.17,156.0,66.42,19.0,66.42,12.0,0.0,0.0,4.0,1.0,8.0,0.0,10.5,7.5,0.0,1.0,1.0,0.0,1.5,0.67,6.0,0.0,0.0,0.0,29.0,0.0,4.0,0.0,0.0,9.0,7.0,5.0,0.0,1.0,5.0,0.0,0.0,0.0,6.0,6.33,0.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.5,115.17,35.0,49.5,1.0,0.0,6.0,0.0,1304.5,5622.92,9.33,1.0,0.0,25.5,0.0,0.0,0.0,0.0,1075.67,48.5,433.0,0.0,0.0,0.0,38005.34,264.0,14225.67,0
sample_15,1416219.62,501.25,185912.83,17203.0,398.5,11.0,9453.5,0.0,0.0,0.0,87.0,6.0,3.0,313.0,0.0,0.0,0.0,465.33,16.0,0.0,18.0,2.0,39.0,3816.0,0.0,15.0,29.0,29968.83,4.5,529.5,14.0,2588115.33,6769.67,0.75,37588.5,206.0,27.0,2339.67,0.0,0.0,19.0,0.0,13.0,175.5,5549.33,38.0,0.0,1.0,762730.98,0.0,272807.33,8.75,58985.34,18150.0,6.0,0.0,1.5,1.5,0.0,11.0,3511.08,2.0,1.0,2.0,21.0,1.0,0.0,0.0,1301.5,0.0,19.08,12.0,1.0,1.0,8.0,3509.33,3.0,0.0,0.0,0.0,225.0,1.0,0.0,1.0,0.0,4.0,0.33,1.0,3.0,0.0,0.0,2.0,0.0,19.67,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,31.0,4.5,3866.75,614.17,505.0,109.58,18.5,108.75,23.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,0.0,11.5,0.0,4.0,0.0,0.0,4.0,4.0,5.0,0.0,1.0,10.0,0.0,0.0,0.0,7.0,7.33,0.0,4.0,0.0,8.5,0.0,1.0,2.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,54.83,28.0,74.0,0.0,0.0,4.0,0.0,1353.0,6402.92,15.33,0.0,0.0,17.0,0.0,0.0,0.0,0.0,625.67,65.08,360.0,0.0,0.0,0.25,59470.0,328.0,9118.58,0
sample_16,975637.65,1309.0,72512.67,32889.66,229.0,8.0,3480.5,0.0,0.0,0.0,145.0,1.0,12.0,337.83,0.0,0.0,0.0,263.33,38.0,0.0,45.0,6.17,11.0,5946.0,0.0,19.5,12.0,53534.67,4.5,2591.66,9.0,1695951.75,16945.92,2.25,70223.0,193.0,4.0,1653.83,0.0,0.0,10.0,2.0,12.0,122.5,3136.5,109.0,0.0,2.0,510676.98,0.0,340826.92,4.17,131022.0,12703.33,5.0,2.0,1.5,1.5,0.0,4.0,1695.04,0.0,0.0,12.0,8.0,1.0,0.0,0.0,1943.5,0.33,4.5,28.0,0.0,0.0,4.0,1695.04,1.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,8.0,0.0,0.0,4.5,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,9.0,1.0,0.0,5.0,3.0,1.0,0.0,2.0,0.0,23.0,3.33,799.67,408.0,161.0,70.5,16.0,70.5,25.0,1.0,1.0,3.0,2.0,3.0,0.0,18.5,7.0,1.0,1.0,1.0,0.0,0.5,1.33,11.33,0.0,0.0,0.0,19.5,0.0,3.5,0.0,0.0,13.5,4.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,5.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.83,3.0,82.33,38.0,44.0,0.0,0.0,2.0,0.0,1121.33,5419.33,3.33,0.0,0.0,46.5,0.0,0.0,0.0,0.0,1273.75,52.25,492.0,0.0,0.0,1.0,30789.0,256.0,17816.67,0
sample_17,1218576.91,1462.75,94602.33,31208.5,289.5,8.0,4948.0,0.0,0.0,0.0,161.0,0.0,14.0,426.5,0.0,0.0,2.33,218.0,42.0,0.0,39.0,5.42,7.0,7789.33,0.0,19.5,18.0,58572.5,6.5,1744.5,18.0,2035134.67,14944.0,1.0,76559.25,253.0,61.0,1884.5,0.0,1.0,8.0,2.0,10.0,113.0,4469.83,163.0,0.0,3.5,483656.82,0.0,368519.0,10.0,155544.34,15234.5,3.5,1.0,4.5,4.5,0.33,3.0,2545.12,4.0,0.0,9.0,7.0,4.0,0.0,0.0,2210.75,1.67,10.17,32.0,0.0,0.0,6.0,2545.12,1.0,0.0,0.0,0.0,79.0,2.0,0.0,1.0,0.0,14.0,0.33,3.0,7.0,0.0,0.0,1.0,0.0,17.33,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.5,9.5,0.0,0.0,1.0,4.0,0.5,0.0,0.0,0.0,40.0,2.5,875.17,445.0,281.0,64.17,16.0,64.17,17.33,1.0,0.0,2.0,0.0,3.0,0.0,8.0,4.0,0.0,0.67,0.67,0.0,2.0,0.58,6.17,0.0,0.0,0.0,33.0,0.0,2.34,0.0,0.0,13.0,6.0,10.0,0.0,1.5,4.0,0.0,0.0,0.0,9.0,7.0,0.0,5.0,0.0,6.5,0.0,2.0,1.0,0.0,8.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,1.0,59.5,65.0,0.0,0.0,2.0,0.0,1042.0,5462.5,8.0,1.0,0.0,39.25,0.0,0.0,0.0,0.0,1377.08,66.33,351.0,0.0,0.0,0.0,42293.16,260.0,21462.0,0
sample_18,1272135.61,1154.5,126632.92,7311.84,321.0,27.0,2981.5,0.0,0.0,0.0,47.5,0.0,20.0,294.33,0.5,0.0,1.83,215.0,49.33,0.0,20.0,7.67,20.0,8533.0,0.0,19.0,13.0,56560.33,8.0,3075.66,11.0,1386435.5,18997.0,0.0,70163.83,164.0,47.5,1120.0,0.0,0.0,13.0,1.0,52.0,174.0,2972.5,380.0,0.0,7.0,422444.98,0.0,463757.17,8.5,169352.59,28746.25,2.0,0.0,1.0,1.0,0.33,1.0,1499.17,0.0,0.0,9.5,11.0,1.0,0.0,0.0,3136.83,1.67,4.25,12.0,0.0,0.0,0.0,1499.17,5.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,8.33,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,1.5,2.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,54.0,4.5,410.83,752.17,353.0,55.5,16.0,55.5,26.0,1.0,0.0,2.0,0.0,2.0,0.0,15.5,3.5,0.0,1.33,1.33,0.0,2.0,0.0,10.0,0.0,0.0,0.0,8.0,1.0,1.84,0.0,0.0,10.0,8.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,16.0,7.33,0.0,1.5,0.0,1.0,0.0,1.0,2.0,2.0,2.5,4.0,0.33,1.0,0.0,0.0,1.0,0.0,1.0,2.5,154.0,66.0,61.0,0.0,0.0,4.0,0.0,688.0,5339.5,3.67,1.0,0.0,33.58,0.0,0.0,0.0,0.0,1295.83,21.0,301.0,0.0,0.0,0.0,27854.0,244.0,21170.0,0
sample_19,601240.79,924.0,43487.83,18783.66,164.5,4.0,3073.0,0.0,0.0,0.0,68.25,0.0,7.0,242.17,0.0,0.0,0.0,128.33,24.0,0.0,15.0,6.5,6.0,4691.0,0.0,2.5,4.0,25083.83,2.5,1078.0,9.0,899634.33,8139.58,1.0,43130.25,248.5,7.0,1330.0,0.0,0.0,7.0,0.0,4.0,107.0,2035.5,80.0,0.0,6.0,224900.82,0.0,174504.67,6.0,83631.34,7300.25,4.0,1.0,2.5,2.5,0.33,0.0,1716.5,0.0,0.0,10.0,0.0,5.0,0.0,0.0,1186.5,0.67,7.5,18.5,0.0,0.0,1.0,1716.5,5.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,9.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,16.0,7.0,430.0,332.17,139.0,42.5,6.0,42.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.0,0.0,0.0,9.5,0.0,1.5,0.0,0.0,9.0,2.0,2.5,0.0,0.0,12.0,0.0,0.0,0.0,4.0,6.33,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,54.0,26.0,28.33,0.0,0.0,1.0,0.0,651.0,2380.5,5.33,0.0,0.0,37.0,0.0,0.0,0.0,0.0,608.83,29.5,257.0,2.0,0.0,0.0,23752.5,152.0,11528.5,0
sample_20,923612.02,1081.0,84369.75,9519.34,231.0,4.0,3882.83,0.0,0.0,0.0,55.5,0.0,14.0,291.25,0.0,0.0,0.0,161.5,29.0,0.0,13.0,6.42,2.0,6010.5,0.0,5.5,12.0,40121.42,1.5,1457.5,6.0,1531949.08,13040.25,2.0,56189.83,183.0,2.0,1259.17,0.0,0.0,15.0,0.0,21.0,130.5,3179.83,152.0,0.0,1.0,335039.32,0.0,253280.67,6.25,119657.33,17309.5,2.0,3.0,2.0,2.0,0.67,1.0,2070.92,0.0,0.0,11.0,0.0,2.0,0.0,0.0,1796.0,0.0,3.83,39.0,0.0,0.0,7.0,2070.92,6.0,0.0,0.0,0.0,52.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,8.67,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,34.0,0.5,496.5,534.33,217.0,31.5,11.0,31.5,12.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.25,1.0,0.67,6.25,0.0,0.0,0.0,4.5,0.0,2.0,0.0,0.0,10.33,9.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,2.0,67.33,34.0,50.33,0.0,0.0,7.0,0.0,803.0,4088.75,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,988.5,30.33,310.0,0.0,0.0,0.0,30059.0,181.0,14666.5,0
sample_21,1080106.31,418.75,119319.67,50392.84,385.0,31.0,3438.5,0.0,0.0,0.0,41.0,3.0,4.0,270.17,0.0,0.0,0.0,389.0,11.0,0.0,9.0,2.92,11.0,3881.5,0.0,9.0,12.0,29592.67,10.0,1119.5,11.0,1577384.58,6606.83,2.5,32639.83,180.0,55.0,1301.58,0.0,1.0,6.0,0.0,17.0,110.5,4370.83,48.0,0.0,2.0,730758.82,0.0,271530.75,13.5,62845.16,24314.33,3.0,0.0,2.0,2.0,0.0,4.0,2166.25,11.0,0.0,3.0,12.0,0.0,0.0,0.0,1387.0,0.0,7.83,20.0,0.0,0.0,2.0,2166.0,4.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,0.0,2.5,0.0,11.5,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,20.0,18.83,2462.17,474.5,615.0,100.25,17.0,100.25,24.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.33,0.0,5.5,0.0,0.0,6.0,5.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,7.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,41.0,26.0,43.5,0.0,0.0,1.0,0.0,691.0,5287.33,5.33,4.0,0.0,11.0,0.0,0.0,0.0,0.0,690.58,25.33,378.33,0.0,0.0,0.0,30132.16,286.5,8025.5,0
sample_22,1234320.06,531.75,135104.58,53253.16,482.5,24.0,5711.0,0.0,0.0,0.0,57.5,0.0,5.0,367.83,0.5,0.0,0.0,500.17,19.0,0.0,9.33,4.75,18.0,5542.0,0.0,9.0,29.0,39904.67,6.0,1777.66,4.0,1980443.83,8450.25,1.0,49608.08,283.0,23.5,2168.5,0.0,0.0,10.0,0.0,19.0,183.5,4553.0,50.0,0.0,3.0,984850.64,0.0,307651.0,13.25,79757.16,31924.08,4.0,1.0,3.0,3.0,0.0,4.0,3325.96,22.0,0.0,7.5,9.0,3.0,0.0,0.0,1723.0,0.0,11.08,9.0,0.0,0.0,2.0,3325.96,0.0,0.0,0.0,0.0,234.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.5,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,44.0,8.33,2809.0,402.92,581.0,137.25,12.0,137.25,29.25,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,5.33,0.5,5.58,0.0,0.0,10.0,8.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,25.0,0.0,4.0,0.0,8.5,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.83,1.0,16.0,49.5,0.0,0.0,3.0,0.0,1079.0,6211.83,6.67,2.0,0.0,17.5,0.0,0.0,0.0,0.0,737.33,19.5,540.33,0.0,0.0,0.0,41207.16,340.0,11690.17,0
sample_23,1036532.48,767.25,78018.17,53479.5,248.83,62.0,2231.0,0.0,0.0,0.0,76.5,0.0,6.0,336.83,0.0,0.0,0.0,238.0,21.0,0.0,18.0,3.0,13.0,5434.83,0.0,16.0,11.0,38153.33,5.0,1529.5,7.0,1334584.58,8631.08,2.0,43934.67,231.0,6.0,1224.0,0.0,0.0,11.0,1.0,13.0,108.5,1423.5,57.0,0.0,2.5,483931.48,0.0,253616.08,3.83,86062.34,15605.83,2.0,1.0,1.5,1.5,0.33,1.0,1372.75,0.0,0.0,7.0,1.0,3.0,0.0,0.0,1439.5,0.67,2.75,20.0,0.0,0.0,2.0,1372.75,3.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,5.0,0.25,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,727.67,276.67,215.0,46.0,6.0,46.0,17.0,0.0,1.0,2.0,6.0,2.0,0.0,11.5,8.5,1.0,0.25,0.25,0.0,3.0,0.0,1.83,0.0,0.0,0.0,12.0,0.0,1.66,0.0,0.0,6.5,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,16.33,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,52.67,22.0,29.0,0.0,0.0,3.0,0.0,840.5,4522.33,4.33,0.0,0.0,30.0,0.0,0.0,0.0,0.0,740.5,24.83,298.0,0.0,0.0,1.0,20490.16,167.0,12603.25,0
