Model Name,Feature Count,CV Score (Mean +/- Std)
XGBoost,118,0.5379 +/- 0.0640
XGBoost,117,0.5379 +/- 0.0640
XGBoost,116,0.5379 +/- 0.0640
XGBoost,115,0.5379 +/- 0.0640
XGBoost,114,0.5379 +/- 0.0640
XGBoost,113,0.5379 +/- 0.0640
XGBoost,112,0.5379 +/- 0.0640
XGBoost,111,0.5379 +/- 0.0640
XGBoost,109,0.5379 +/- 0.0640
XGBoost,103,0.5379 +/- 0.0640
XGBoost,121,0.5379 +/- 0.0640
XGBoost,122,0.5379 +/- 0.0640
XGBoost,108,0.5379 +/- 0.0640
XGBoost,123,0.5379 +/- 0.0640
XGBoost,107,0.5379 +/- 0.0640
XGBoost,106,0.5379 +/- 0.0640
XGBoost,105,0.5379 +/- 0.0640
XGBoost,104,0.5379 +/- 0.0640
XGBoost,133,0.5379 +/- 0.0640
XGBoost,119,0.5379 +/- 0.0640
XGBoost,135,0.5379 +/- 0.0640
XGBoost,136,0.5379 +/- 0.0640
XGBoost,88,0.5379 +/- 0.0640
XGBoost,142,0.5379 +/- 0.0640
SVM(poly),2,0.5379 +/- 0.0640
XGBoost,138,0.5379 +/- 0.0640
XGBoost,139,0.5379 +/- 0.0640
XGBoost,141,0.5379 +/- 0.0640
XGBoost,89,0.5379 +/- 0.0640
XGBoost,140,0.5379 +/- 0.0640
XGBoost,87,0.5379 +/- 0.0640
XGBoost,137,0.5379 +/- 0.0640
XGBoost,86,0.5379 +/- 0.0640
Naive Bayes,37,0.5379 +/- 0.0560
ANN,41,0.5379 +/- 0.0468
ANN,39,0.5379 +/- 0.0468
Naive Bayes,28,0.5379 +/- 0.0414
Random Forest,60,0.5379 +/- 0.0276
Naive Bayes,21,0.5379 +/- 0.0169
XGBoost,22,0.5310 +/- 0.1166
XGBoost,36,0.5310 +/- 0.1103
XGBoost,37,0.5310 +/- 0.1103
XGBoost,35,0.5310 +/- 0.1103
XGBoost,38,0.5310 +/- 0.1103
XGBoost,33,0.5310 +/- 0.1103
XGBoost,31,0.5310 +/- 0.1103
XGBoost,32,0.5310 +/- 0.1103
XGBoost,34,0.5310 +/- 0.1103
XGBoost,39,0.5310 +/- 0.0966
XGBoost,40,0.5310 +/- 0.0966
Logistic Regression,12,0.5310 +/- 0.0915
Naive Bayes,11,0.5310 +/- 0.0833
XGBoost,16,0.5310 +/- 0.0833
Naive Bayes,10,0.5310 +/- 0.0833
ANN,9,0.5310 +/- 0.0804
XGBoost,14,0.5310 +/- 0.0804
Naive Bayes,74,0.5310 +/- 0.0774
Naive Bayes,73,0.5310 +/- 0.0774
Logistic Regression,17,0.5310 +/- 0.0774
Logistic Regression,14,0.5310 +/- 0.0743
Naive Bayes,80,0.5310 +/- 0.0743
Random Forest,41,0.5310 +/- 0.0710
Logistic Regression,18,0.5310 +/- 0.0710
XGBoost,5,0.5310 +/- 0.0676
Naive Bayes,88,0.5310 +/- 0.0640
Random Forest,106,0.5310 +/- 0.0640
Naive Bayes,90,0.5310 +/- 0.0640
SVM(linear),13,0.5310 +/- 0.0601
Logistic Regression,23,0.5310 +/- 0.0601
Random Forest,11,0.5310 +/- 0.0560
ANN,10,0.5310 +/- 0.0560
Logistic Regression,11,0.5310 +/- 0.0560
Logistic Regression,37,0.5310 +/- 0.0516
Logistic Regression,36,0.5310 +/- 0.0516
Logistic Regression,25,0.5310 +/- 0.0516
Logistic Regression,38,0.5310 +/- 0.0516
Random Forest,88,0.5310 +/- 0.0516
Logistic Regression,62,0.5310 +/- 0.0468
Logistic Regression,58,0.5310 +/- 0.0468
Logistic Regression,42,0.5310 +/- 0.0468
ANN,34,0.5310 +/- 0.0468
Logistic Regression,61,0.5310 +/- 0.0468
Logistic Regression,52,0.5310 +/- 0.0468
Logistic Regression,60,0.5310 +/- 0.0468
Logistic Regression,63,0.5310 +/- 0.0468
Logistic Regression,55,0.5310 +/- 0.0468
Logistic Regression,9,0.5310 +/- 0.0468
Logistic Regression,56,0.5310 +/- 0.0468
Logistic Regression,59,0.5310 +/- 0.0468
Logistic Regression,51,0.5310 +/- 0.0468
Logistic Regression,64,0.5310 +/- 0.0468
Random Forest,28,0.5310 +/- 0.0468
Logistic Regression,41,0.5310 +/- 0.0468
Logistic Regression,65,0.5310 +/- 0.0468
Logistic Regression,10,0.5310 +/- 0.0468
Logistic Regression,53,0.5310 +/- 0.0468
Logistic Regression,57,0.5310 +/- 0.0468
ANN,48,0.5310 +/- 0.0414
ANN,40,0.5310 +/- 0.0352
SVM(linear),7,0.5310 +/- 0.0352
Naive Bayes,32,0.5310 +/- 0.0276
Random Forest,16,0.5310 +/- 0.0276
XGBoost,24,0.5241 +/- 0.1099
XGBoost,25,0.5241 +/- 0.1099
XGBoost,30,0.5241 +/- 0.1032
XGBoost,29,0.5241 +/- 0.1032
Random Forest,23,0.5241 +/- 0.1009
Random Forest,39,0.5241 +/- 0.0961
ANN,6,0.5241 +/- 0.0910
Naive Bayes,9,0.5241 +/- 0.0910
Naive Bayes,8,0.5241 +/- 0.0910
XGBoost,15,0.5241 +/- 0.0828
Random Forest,14,0.5241 +/- 0.0736
SVM(linear),30,0.5241 +/- 0.0736
Random Forest,109,0.5241 +/- 0.0736
Naive Bayes,84,0.5241 +/- 0.0736
Naive Bayes,89,0.5241 +/- 0.0736
Naive Bayes,85,0.5241 +/- 0.0669
Naive Bayes,86,0.5241 +/- 0.0669
Random Forest,33,0.5241 +/- 0.0669
XGBoost,17,0.5241 +/- 0.0669
Logistic Regression,16,0.5241 +/- 0.0669
SVM(linear),11,0.5241 +/- 0.0669
Naive Bayes,87,0.5241 +/- 0.0669
ANN,24,0.5241 +/- 0.0669
Random Forest,32,0.5241 +/- 0.0632
Naive Bayes,72,0.5241 +/- 0.0632
Naive Bayes,7,0.5241 +/- 0.0593
Random Forest,85,0.5241 +/- 0.0593
Logistic Regression,26,0.5241 +/- 0.0593
ANN,43,0.5241 +/- 0.0593
ANN,38,0.5241 +/- 0.0552
Logistic Regression,54,0.5241 +/- 0.0507
Naive Bayes,29,0.5241 +/- 0.0507
Random Forest,18,0.5241 +/- 0.0507
SVM(linear),8,0.5241 +/- 0.0507
Logistic Regression,39,0.5241 +/- 0.0507
Logistic Regression,35,0.5241 +/- 0.0507
Logistic Regression,40,0.5241 +/- 0.0507
Logistic Regression,24,0.5241 +/- 0.0507
ANN,35,0.5241 +/- 0.0507
Logistic Regression,34,0.5241 +/- 0.0507
SVM(linear),10,0.5241 +/- 0.0507
ANN,46,0.5241 +/- 0.0402
Random Forest,44,0.5241 +/- 0.0402
Naive Bayes,22,0.5241 +/- 0.0402
Naive Bayes,24,0.5241 +/- 0.0402
Logistic Regression,33,0.5241 +/- 0.0402
Logistic Regression,47,0.5241 +/- 0.0338
Logistic Regression,46,0.5241 +/- 0.0338
Logistic Regression,45,0.5241 +/- 0.0338
Logistic Regression,48,0.5241 +/- 0.0338
Logistic Regression,43,0.5241 +/- 0.0338
Logistic Regression,44,0.5241 +/- 0.0338
Logistic Regression,49,0.5241 +/- 0.0338
ANN,37,0.5241 +/- 0.0338
Random Forest,8,0.5172 +/- 0.1154
XGBoost,23,0.5172 +/- 0.1046
XGBoost,28,0.5172 +/- 0.1023
ANN,7,0.5172 +/- 0.0899
Random Forest,108,0.5172 +/- 0.0899
XGBoost,42,0.5172 +/- 0.0872
XGBoost,41,0.5172 +/- 0.0872
Naive Bayes,91,0.5172 +/- 0.0786
ANN,26,0.5172 +/- 0.0723
Logistic Regression,15,0.5172 +/- 0.0690
Naive Bayes,78,0.5172 +/- 0.0654
Naive Bayes,76,0.5172 +/- 0.0654
Random Forest,25,0.5172 +/- 0.0654
Logistic Regression,7,0.5172 +/- 0.0654
Random Forest,17,0.5172 +/- 0.0617
SVM(linear),21,0.5172 +/- 0.0617
Logistic Regression,71,0.5172 +/- 0.0577
Logistic Regression,85,0.5172 +/- 0.0577
Logistic Regression,86,0.5172 +/- 0.0577
Logistic Regression,84,0.5172 +/- 0.0577
Logistic Regression,83,0.5172 +/- 0.0577
Logistic Regression,82,0.5172 +/- 0.0577
Logistic Regression,81,0.5172 +/- 0.0577
Logistic Regression,80,0.5172 +/- 0.0577
Logistic Regression,79,0.5172 +/- 0.0577
Logistic Regression,78,0.5172 +/- 0.0577
Random Forest,70,0.5172 +/- 0.0577
Logistic Regression,66,0.5172 +/- 0.0577
Logistic Regression,77,0.5172 +/- 0.0577
Naive Bayes,77,0.5172 +/- 0.0577
Logistic Regression,67,0.5172 +/- 0.0577
Logistic Regression,76,0.5172 +/- 0.0577
Logistic Regression,68,0.5172 +/- 0.0577
Logistic Regression,69,0.5172 +/- 0.0577
Logistic Regression,75,0.5172 +/- 0.0577
Logistic Regression,70,0.5172 +/- 0.0577
Logistic Regression,74,0.5172 +/- 0.0577
Logistic Regression,73,0.5172 +/- 0.0577
Random Forest,121,0.5172 +/- 0.0577
Logistic Regression,72,0.5172 +/- 0.0577
Logistic Regression,22,0.5172 +/- 0.0577
Random Forest,36,0.5172 +/- 0.0577
ANN,20,0.5172 +/- 0.0488
ANN,47,0.5172 +/- 0.0488
Logistic Regression,27,0.5172 +/- 0.0488
Logistic Regression,50,0.5172 +/- 0.0378
Random Forest,19,0.5172 +/- 0.0378
Random Forest,75,0.5172 +/- 0.0378
Random Forest,116,0.5172 +/- 0.0218
Random Forest,54,0.5103 +/- 0.1009
Random Forest,138,0.5103 +/- 0.0798
ANN,28,0.5103 +/- 0.0768
Random Forest,120,0.5103 +/- 0.0703
XGBoost,3,0.5103 +/- 0.0703
SVM(linear),9,0.5103 +/- 0.0669
Random Forest,127,0.5103 +/- 0.0632
ANN,21,0.5103 +/- 0.0593
Naive Bayes,82,0.5103 +/- 0.0593
Naive Bayes,83,0.5103 +/- 0.0593
Naive Bayes,81,0.5103 +/- 0.0593
ANN,14,0.5103 +/- 0.0593
Logistic Regression,91,0.5103 +/- 0.0593
SVM(linear),12,0.5103 +/- 0.0593
ANN,27,0.5103 +/- 0.0593
Naive Bayes,19,0.5103 +/- 0.0552
Random Forest,77,0.5103 +/- 0.0552
Naive Bayes,75,0.5103 +/- 0.0552
Random Forest,101,0.5103 +/- 0.0552
Random Forest,26,0.5103 +/- 0.0552
Logistic Regression,6,0.5103 +/- 0.0552
Random Forest,53,0.5103 +/- 0.0552
Random Forest,90,0.5103 +/- 0.0507
Logistic Regression,32,0.5103 +/- 0.0507
Random Forest,30,0.5103 +/- 0.0507
Naive Bayes,23,0.5103 +/- 0.0507
SVM(linear),24,0.5103 +/- 0.0507
Random Forest,20,0.5103 +/- 0.0457
SVM(linear),39,0.5103 +/- 0.0457
ANN,62,0.5103 +/- 0.0402
ANN,64,0.5103 +/- 0.0402
ANN,44,0.5103 +/- 0.0402
ANN,57,0.5103 +/- 0.0402
Logistic Regression,31,0.5103 +/- 0.0338
ANN,50,0.5103 +/- 0.0338
Logistic Regression,30,0.5103 +/- 0.0338
Random Forest,49,0.5103 +/- 0.0338
Random Forest,95,0.5103 +/- 0.0258
Random Forest,6,0.5103 +/- 0.0258
ANN,49,0.5103 +/- 0.0258
Logistic Regression,3,0.5034 +/- 0.1166
Random Forest,37,0.5034 +/- 0.1059
XGBoost,27,0.5034 +/- 0.1059
SVM(linear),1,0.5034 +/- 0.1037
ANN,25,0.5034 +/- 0.0889
Naive Bayes,95,0.5034 +/- 0.0804
Random Forest,13,0.5034 +/- 0.0774
Naive Bayes,97,0.5034 +/- 0.0774
Random Forest,140,0.5034 +/- 0.0743
Random Forest,46,0.5034 +/- 0.0743
ANN,126,0.5034 +/- 0.0710
SVM(linear),49,0.5034 +/- 0.0710
ANN,139,0.5034 +/- 0.0710
SVM(linear),5,0.5034 +/- 0.0676
XGBoost,4,0.5034 +/- 0.0676
ANN,143,0.5034 +/- 0.0676
Random Forest,10,0.5034 +/- 0.0640
SVM(linear),17,0.5034 +/- 0.0640
Random Forest,27,0.5034 +/- 0.0640
Random Forest,5,0.5034 +/- 0.0640
Random Forest,31,0.5034 +/- 0.0640
Random Forest,132,0.5034 +/- 0.0601
SVM(linear),20,0.5034 +/- 0.0601
ANN,23,0.5034 +/- 0.0601
SVM(linear),22,0.5034 +/- 0.0560
SVM(linear),32,0.5034 +/- 0.0560
SVM(linear),41,0.5034 +/- 0.0560
Random Forest,137,0.5034 +/- 0.0560
SVM(linear),42,0.5034 +/- 0.0560
SVM(linear),25,0.5034 +/- 0.0560
XGBoost,12,0.5034 +/- 0.0516
Random Forest,130,0.5034 +/- 0.0516
Random Forest,22,0.5034 +/- 0.0516
Random Forest,57,0.5034 +/- 0.0516
Naive Bayes,20,0.5034 +/- 0.0516
Logistic Regression,132,0.5034 +/- 0.0468
Logistic Regression,130,0.5034 +/- 0.0468
Logistic Regression,131,0.5034 +/- 0.0468
Logistic Regression,129,0.5034 +/- 0.0468
Logistic Regression,140,0.5034 +/- 0.0468
Logistic Regression,134,0.5034 +/- 0.0468
Logistic Regression,143,0.5034 +/- 0.0468
Logistic Regression,133,0.5034 +/- 0.0468
Logistic Regression,141,0.5034 +/- 0.0468
Logistic Regression,135,0.5034 +/- 0.0468
Logistic Regression,136,0.5034 +/- 0.0468
Logistic Regression,88,0.5034 +/- 0.0468
Logistic Regression,137,0.5034 +/- 0.0468
Logistic Regression,138,0.5034 +/- 0.0468
Logistic Regression,142,0.5034 +/- 0.0468
Logistic Regression,139,0.5034 +/- 0.0468
SVM(linear),27,0.5034 +/- 0.0468
SVM(linear),26,0.5034 +/- 0.0468
Logistic Regression,87,0.5034 +/- 0.0468
Logistic Regression,117,0.5034 +/- 0.0468
Logistic Regression,89,0.5034 +/- 0.0468
Logistic Regression,120,0.5034 +/- 0.0468
Logistic Regression,105,0.5034 +/- 0.0468
Logistic Regression,106,0.5034 +/- 0.0468
Logistic Regression,121,0.5034 +/- 0.0468
Logistic Regression,107,0.5034 +/- 0.0468
Logistic Regression,108,0.5034 +/- 0.0468
Logistic Regression,109,0.5034 +/- 0.0468
Logistic Regression,110,0.5034 +/- 0.0468
Logistic Regression,111,0.5034 +/- 0.0468
Logistic Regression,128,0.5034 +/- 0.0468
Logistic Regression,119,0.5034 +/- 0.0468
Logistic Regression,112,0.5034 +/- 0.0468
Logistic Regression,113,0.5034 +/- 0.0468
Logistic Regression,114,0.5034 +/- 0.0468
Logistic Regression,118,0.5034 +/- 0.0468
Logistic Regression,115,0.5034 +/- 0.0468
Logistic Regression,116,0.5034 +/- 0.0468
Logistic Regression,104,0.5034 +/- 0.0468
Logistic Regression,103,0.5034 +/- 0.0468
Logistic Regression,102,0.5034 +/- 0.0468
Logistic Regression,122,0.5034 +/- 0.0468
Logistic Regression,90,0.5034 +/- 0.0468
Logistic Regression,127,0.5034 +/- 0.0468
Logistic Regression,93,0.5034 +/- 0.0468
Logistic Regression,94,0.5034 +/- 0.0468
Logistic Regression,126,0.5034 +/- 0.0468
Logistic Regression,95,0.5034 +/- 0.0468
Logistic Regression,125,0.5034 +/- 0.0468
Logistic Regression,96,0.5034 +/- 0.0468
Logistic Regression,97,0.5034 +/- 0.0468
Logistic Regression,124,0.5034 +/- 0.0468
Logistic Regression,98,0.5034 +/- 0.0468
Logistic Regression,99,0.5034 +/- 0.0468
Logistic Regression,100,0.5034 +/- 0.0468
Logistic Regression,123,0.5034 +/- 0.0468
Logistic Regression,101,0.5034 +/- 0.0468
Logistic Regression,92,0.5034 +/- 0.0468
ANN,96,0.5034 +/- 0.0468
SVM(linear),45,0.5034 +/- 0.0468
SVM(linear),40,0.5034 +/- 0.0468
SVM(linear),44,0.5034 +/- 0.0468
SVM(linear),46,0.5034 +/- 0.0468
ANN,63,0.5034 +/- 0.0414
Random Forest,141,0.5034 +/- 0.0414
SVM(linear),36,0.5034 +/- 0.0352
ANN,30,0.5034 +/- 0.0352
ANN,105,0.5034 +/- 0.0352
SVM(linear),37,0.5034 +/- 0.0352
SVM(linear),16,0.5034 +/- 0.0352
Random Forest,87,0.5034 +/- 0.0352
SVM(linear),38,0.5034 +/- 0.0352
ANN,12,0.5034 +/- 0.0352
ANN,36,0.5034 +/- 0.0352
ANN,11,0.5034 +/- 0.0352
Logistic Regression,28,0.5034 +/- 0.0352
Logistic Regression,29,0.5034 +/- 0.0352
ANN,55,0.5034 +/- 0.0276
Naive Bayes,2,0.4966 +/- 0.1283
XGBoost,26,0.4966 +/- 0.0990
Random Forest,48,0.4966 +/- 0.0915
Random Forest,143,0.4966 +/- 0.0889
XGBoost,13,0.4966 +/- 0.0804
SVM(linear),14,0.4966 +/- 0.0804
Naive Bayes,129,0.4966 +/- 0.0774
Naive Bayes,141,0.4966 +/- 0.0774
Naive Bayes,138,0.4966 +/- 0.0774
Naive Bayes,117,0.4966 +/- 0.0774
Naive Bayes,105,0.4966 +/- 0.0774
Naive Bayes,116,0.4966 +/- 0.0774
Naive Bayes,118,0.4966 +/- 0.0774
Naive Bayes,112,0.4966 +/- 0.0774
Naive Bayes,140,0.4966 +/- 0.0774
Naive Bayes,139,0.4966 +/- 0.0774
Naive Bayes,115,0.4966 +/- 0.0774
Naive Bayes,106,0.4966 +/- 0.0774
Naive Bayes,114,0.4966 +/- 0.0774
Naive Bayes,130,0.4966 +/- 0.0774
Naive Bayes,131,0.4966 +/- 0.0774
Naive Bayes,111,0.4966 +/- 0.0774
Naive Bayes,109,0.4966 +/- 0.0774
Naive Bayes,107,0.4966 +/- 0.0774
Naive Bayes,137,0.4966 +/- 0.0774
Naive Bayes,113,0.4966 +/- 0.0774
Naive Bayes,108,0.4966 +/- 0.0774
Naive Bayes,132,0.4966 +/- 0.0774
Naive Bayes,136,0.4966 +/- 0.0774
Naive Bayes,119,0.4966 +/- 0.0774
Naive Bayes,121,0.4966 +/- 0.0774
Naive Bayes,134,0.4966 +/- 0.0774
Naive Bayes,98,0.4966 +/- 0.0774
Naive Bayes,143,0.4966 +/- 0.0774
Naive Bayes,126,0.4966 +/- 0.0774
Naive Bayes,125,0.4966 +/- 0.0774
Naive Bayes,127,0.4966 +/- 0.0774
Naive Bayes,124,0.4966 +/- 0.0774
Naive Bayes,123,0.4966 +/- 0.0774
Naive Bayes,128,0.4966 +/- 0.0774
Naive Bayes,101,0.4966 +/- 0.0774
Naive Bayes,142,0.4966 +/- 0.0774
Naive Bayes,122,0.4966 +/- 0.0774
Naive Bayes,133,0.4966 +/- 0.0774
Naive Bayes,135,0.4966 +/- 0.0774
Naive Bayes,102,0.4966 +/- 0.0774
Naive Bayes,103,0.4966 +/- 0.0774
Naive Bayes,104,0.4966 +/- 0.0774
Naive Bayes,120,0.4966 +/- 0.0774
Naive Bayes,110,0.4966 +/- 0.0774
Naive Bayes,6,0.4966 +/- 0.0710
ANN,94,0.4966 +/- 0.0710
ANN,125,0.4966 +/- 0.0710
SVM(linear),19,0.4966 +/- 0.0640
Random Forest,118,0.4966 +/- 0.0640
SVM(linear),18,0.4966 +/- 0.0640
Random Forest,50,0.4966 +/- 0.0640
Random Forest,117,0.4966 +/- 0.0601
ANN,134,0.4966 +/- 0.0601
ANN,32,0.4966 +/- 0.0601
SVM(linear),43,0.4966 +/- 0.0601
ANN,31,0.4966 +/- 0.0601
ANN,140,0.4966 +/- 0.0601
ANN,3,0.4966 +/- 0.0560
ANN,29,0.4966 +/- 0.0560
SVM(linear),47,0.4966 +/- 0.0560
SVM(linear),48,0.4966 +/- 0.0560
ANN,106,0.4966 +/- 0.0560
Random Forest,82,0.4966 +/- 0.0516
Random Forest,104,0.4966 +/- 0.0516
ANN,67,0.4966 +/- 0.0516
Logistic Regression,5,0.4966 +/- 0.0468
Random Forest,142,0.4966 +/- 0.0352
Random Forest,122,0.4966 +/- 0.0352
ANN,59,0.4966 +/- 0.0352
ANN,52,0.4966 +/- 0.0352
Random Forest,79,0.4966 +/- 0.0352
Random Forest,97,0.4966 +/- 0.0352
ANN,51,0.4966 +/- 0.0352
Random Forest,96,0.4966 +/- 0.0276
Random Forest,51,0.4966 +/- 0.0276
ANN,61,0.4966 +/- 0.0276
Random Forest,113,0.4966 +/- 0.0276
SVM(linear),51,0.4966 +/- 0.0169
Random Forest,92,0.4966 +/- 0.0169
Random Forest,47,0.4966 +/- 0.0169
Naive Bayes,94,0.4897 +/- 0.0985
Naive Bayes,96,0.4897 +/- 0.0985
Naive Bayes,100,0.4897 +/- 0.0985
Random Forest,56,0.4897 +/- 0.0961
Random Forest,2,0.4897 +/- 0.0910
ANN,22,0.4897 +/- 0.0883
SVM(linear),3,0.4897 +/- 0.0883
Random Forest,43,0.4897 +/- 0.0798
SVM(linear),4,0.4897 +/- 0.0798
Random Forest,9,0.4897 +/- 0.0798
Random Forest,35,0.4897 +/- 0.0768
ANN,138,0.4897 +/- 0.0768
XGBoost,11,0.4897 +/- 0.0768
Logistic Regression,1,0.4897 +/- 0.0736
Naive Bayes,99,0.4897 +/- 0.0703
ANN,92,0.4897 +/- 0.0703
SVM(linear),15,0.4897 +/- 0.0703
XGBoost,6,0.4897 +/- 0.0703
ANN,141,0.4897 +/- 0.0669
ANN,4,0.4897 +/- 0.0669
ANN,142,0.4897 +/- 0.0669
ANN,17,0.4897 +/- 0.0669
Random Forest,99,0.4897 +/- 0.0669
ANN,88,0.4897 +/- 0.0593
ANN,120,0.4897 +/- 0.0593
SVM(linear),31,0.4897 +/- 0.0593
