,hsa-miR-585-5p,hsa-miR-148a-3p,hsa-miR-585-3p,hsa-miR-455-3p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-2114-3p,hsa-miR-5680,hsa-miR-195-3p,hsa-miR-6861-3p,hsa-miR-3663-5p,hsa-miR-106a-5p,hsa-miR-148b-5p,hsa-miR-142-3p,hsa-miR-1269a,hsa-miR-3925-3p,hsa-let-7f-5p,hsa-miR-2355-3p,hsa-let-7a-5p,hsa-miR-4431,hsa-miR-1249,hsa-miR-148b-3p,hsa-miR-140-5p,hsa-miR-195-5p,hsa-miR-7157-5p,hsa-miR-1294,hsa-miR-29a-3p,hsa-miR-4687-5p,hsa-miR-4699-5p,hsa-miR-676-3p,hsa-miR-34b-3p,hsa-miR-3942-5p,hsa-miR-877-3p,hsa-miR-30d-3p,hsa-miR-1227-3p,hsa-miR-4324,hsa-miR-129-2-3p,hsa-miR-130a-5p,hsa-miR-26b-5p,hsa-miR-455-5p,hsa-miR-6513-5p,hsa-miR-196b-5p,hsa-miR-10b-3p,hsa-miR-6795-3p,hsa-miR-30c-2-3p,hsa-miR-152-3p,hsa-miR-4661-5p,hsa-miR-4787-3p,hsa-miR-2682-3p,hsa-miR-6760-3p,hsa-miR-3617-5p,hsa-miR-509-5p,hsa-miR-10b-5p,hsa-miR-4709-3p,hsa-miR-345-3p,hsa-miR-518b,hsa-miR-30a-5p,hsa-miR-2115-5p,hsa-miR-4500,hsa-miR-27b-3p,hsa-miR-346,hsa-let-7i-5p,hsa-miR-6794-3p,hsa-miR-10a-3p,hsa-miR-6882-3p,hsa-miR-6734-5p,hsa-miR-24-1-5p,hsa-miR-6891-5p,hsa-miR-26a-2-3p,hsa-miR-4525,hsa-miR-6846-3p,hsa-miR-99a-3p,hsa-miR-448,hsa-miR-3941,hsa-miR-3074-3p,hsa-miR-4694-5p,hsa-miR-4679,hsa-miR-30a-3p,hsa-miR-4804-3p,hsa-miR-493-3p,hsa-miR-520c-3p,hsa-miR-520b,hsa-miR-1291,hsa-miR-487a-3p,hsa-miR-3680-3p,hsa-miR-515-3p,hsa-miR-106b-5p,hsa-miR-618,hsa-miR-516b-5p,hsa-miR-6849-3p,hsa-miR-6826-3p,hsa-miR-1827,hsa-miR-3943,hsa-miR-192-5p,hsa-miR-6808-3p,hsa-miR-2110,hsa-miR-146b-5p,hsa-miR-210-3p,hsa-miR-520h,hsa-miR-3186-5p,hsa-miR-6726-3p,hsa-miR-508-5p,hsa-miR-27b-5p,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-511-5p,hsa-miR-26a-1-3p,hsa-let-7g-5p,hsa-miR-6888-3p,hsa-miR-10a-5p,hsa-miR-454-3p,hsa-miR-425-3p,hsa-miR-9-3p,hsa-miR-6859-3p,hsa-miR-7114-3p,hsa-miR-504-5p,hsa-miR-4650-3p,hsa-miR-518c-3p,hsa-miR-6858-5p,hsa-miR-6880-5p,hsa-miR-23c,hsa-miR-3191-3p,hsa-miR-378i,hsa-miR-548aw,hsa-miR-6803-3p,hsa-miR-26b-3p,hsa-miR-1228-3p,hsa-miR-31-3p,hsa-miR-183-5p,hsa-miR-6515-3p,hsa-miR-3139,hsa-miR-3656,hsa-miR-146b-3p,hsa-miR-6510-3p,hsa-miR-5582-5p,hsa-miR-4721,hsa-miR-4646-3p,hsa-miR-6764-3p,hsa-miR-30b-5p,hsa-miR-3127-5p,hsa-miR-668-3p,hsa-miR-497-3p,hsa-miR-5587-5p,hsa-miR-34c-3p,hsa-miR-4532,hsa-miR-4685-3p,hsa-miR-4659a-5p,hsa-miR-4659b-3p,hsa-miR-100-3p,hsa-miR-616-3p,hsa-miR-155-5p,hsa-miR-3168,hsa-miR-485-3p,hsa-miR-7977,hsa-miR-940,hsa-miR-548ab,hsa-miR-1271-5p,hsa-miR-329-3p,hsa-miR-7156-5p,hsa-miR-1225-3p,hsa-miR-1301-3p,hsa-miR-3663-3p,hsa-miR-6761-5p,hsa-miR-5089-3p,hsa-miR-3151-5p,hsa-miR-1914-5p,hsa-miR-4517,hsa-miR-627-5p,hsa-miR-6504-3p,hsa-miR-27a-3p,hsa-miR-6797-3p,hsa-miR-2682-5p,hsa-miR-6858-3p,hsa-miR-323a-5p,hsa-miR-6871-3p,hsa-miR-4454,hsa-miR-942-5p,hsa-miR-16-5p,hsa-miR-6833-3p,hsa-miR-2116-5p,hsa-miR-6887-5p,hsa-miR-6810-3p,hsa-miR-510-5p,hsa-miR-6852-3p,hsa-miR-122-3p,hsa-miR-140-3p,hsa-miR-629-5p,hsa-miR-3591-5p,hsa-miR-376a-2-5p,hsa-miR-6849-5p,hsa-miR-146a-5p,hsa-miR-939-5p,hsa-miR-519d-3p,hsa-miR-197-3p,hsa-miR-3929,hsa-miR-98-5p,hsa-miR-124-5p,hsa-miR-298,hsa-miR-6800-5p,hsa-miR-581,Disese Group
sample_11,7.5,20428.0,35.5,362.0,1548.0,10.0,5.0,8.0,75.0,2.08,2.0,12.5,393.0,820.0,14.0,1.0,671222.99,31.0,1111278.92,0.0,75.0,58024.17,7219.83,7852.75,6.0,25.0,428694.33,1.0,2.0,35.0,10.0,4.0,53.0,1910.33,5.0,2.67,5237.58,19.0,564232.75,580.0,1.0,3.0,1.0,1.0,1938.25,14731.0,0.0,25.0,43.0,13.5,475.5,6.0,20.0,3.0,20.0,9.0,155023.33,0.0,1.42,182486.08,159.0,97923.33,73.5,1.0,8.5,17.92,11.5,0.0,2026.5,7.0,1.0,2390.0,51.0,0.0,11.5,0.0,0.0,31614.67,8.0,418.17,0.67,0.67,355.5,357.0,0.66,0.0,298.5,45.0,0.0,1.0,3.5,0.0,104.0,72254.67,3.0,570.0,2990.83,32945.75,1.5,0.0,159.5,3.0,245.5,857.0,855.0,7.0,153.5,187310.67,7.0,14.0,16906.0,3284.67,283870.24,6.75,3.0,648.83,0.0,15.0,0.0,0.0,8.5,1.5,0.0,108.75,200.83,800.0,7.5,317.0,1686961.08,26.0,1.0,0.25,70.5,0.0,0.0,0.0,13.5,17.5,100355.5,88.0,103.5,38.0,0.0,0.0,0.58,6.25,2.0,2.0,120.0,31.33,412.0,0.0,6362.5,14.0,2.0,2.0,176.0,2291.66,6.0,0.0,3306.08,0.5,29.0,2.0,1.0,14.0,0.0,194.67,0.0,12365.08,0.0,13.0,2.0,31.0,2.0,2.0,88.0,895226.16,14.5,15.0,0.0,3.0,2.0,0.5,23.5,28826.33,994.0,23.5,179.0,0.0,6124.58,1.0,4.0,1347.83,13.33,9529.58,24100.05,0.0,0.0,5.0,0
sample_12,10.0,16340.5,27.0,228.0,1677.0,11.0,1.0,7.0,113.0,0.75,7.0,12.0,340.0,1011.0,5.0,5.0,673108.23,44.5,1133107.14,0.0,49.0,49536.67,6065.67,10776.42,5.0,33.0,372735.0,3.0,0.0,35.0,19.0,2.0,46.25,1599.42,1.0,9.17,5324.75,17.5,555476.17,377.0,4.0,2.0,0.0,0.0,1874.0,13064.67,0.0,20.0,25.0,13.5,116.0,3.0,14.0,7.0,16.0,21.0,122252.33,0.0,0.0,188408.33,156.0,90564.08,102.5,0.0,8.5,19.17,5.75,0.75,1052.5,19.0,0.0,1482.0,44.0,1.0,5.75,0.0,2.0,31833.17,2.0,518.5,0.67,0.67,348.83,249.33,0.66,1.0,268.5,68.5,1.0,1.0,3.0,1.0,64.0,70021.42,0.0,700.0,4327.67,32017.58,1.5,0.0,119.0,1.0,163.83,1103.34,1099.34,5.0,74.5,191951.58,2.0,18.0,13680.0,2691.0,288991.65,12.0,5.0,769.42,0.0,6.0,1.0,0.33,1.0,0.0,1.0,139.75,146.0,847.33,8.0,184.5,1516126.83,20.33,0.0,0.0,122.5,0.0,0.0,0.0,14.33,12.0,80258.67,94.0,87.0,35.5,0.0,10.0,0.33,8.0,0.0,0.0,80.0,33.83,653.0,0.0,4945.5,13.0,0.0,2.0,224.5,1627.0,3.0,0.0,3717.42,6.0,25.0,1.0,11.0,17.5,0.0,159.0,0.0,14620.42,1.5,14.0,1.0,20.0,1.0,1.0,140.5,852486.84,11.5,23.0,2.0,5.0,4.0,0.58,21.5,42204.83,1036.5,21.5,107.5,0.0,5895.5,0.0,5.0,1526.0,11.33,7895.08,12216.22,0.0,0.0,2.0,0
sample_13,6.0,17657.5,27.0,197.0,1260.5,7.0,2.0,2.0,70.0,1.5,2.0,12.5,363.0,642.0,15.0,4.0,520126.66,25.0,907331.1,0.0,32.0,53538.0,5776.0,7928.33,2.0,20.0,377848.67,0.0,0.0,32.0,5.0,4.0,25.75,1714.75,3.0,4.0,4297.5,20.0,449659.5,414.0,2.0,6.0,0.0,0.0,1684.33,12391.0,0.0,27.0,32.5,6.5,462.33,4.0,21.0,2.0,30.0,14.0,126544.0,2.0,0.67,135842.58,139.0,73550.58,56.0,1.0,8.0,19.83,6.0,0.0,1465.17,3.0,0.0,1606.0,49.0,0.0,6.0,0.0,2.0,25679.33,1.0,343.33,0.67,0.67,299.25,196.0,0.0,0.0,281.5,27.75,0.0,1.0,16.0,1.0,77.0,71387.08,1.0,495.0,3462.33,23188.75,1.0,0.0,100.5,5.0,202.5,1043.24,1040.24,5.0,79.5,151251.33,4.0,7.0,12181.33,3046.83,246359.7,8.25,1.0,625.83,0.0,14.0,0.0,0.0,4.0,0.0,0.0,97.0,129.0,646.0,2.0,222.0,1419822.0,12.0,0.0,0.0,77.0,0.0,0.0,0.0,8.17,10.0,76438.92,132.0,56.0,48.0,1.0,1.0,0.0,3.0,0.25,0.25,102.0,29.83,315.0,0.25,4196.0,5.0,1.5,2.5,246.5,1371.34,2.0,0.0,2979.58,1.0,17.0,1.0,12.0,6.0,0.0,217.5,0.0,9494.25,1.0,20.0,7.5,18.0,0.0,0.0,86.5,673032.16,13.0,14.0,0.0,5.0,5.0,0.25,24.5,31957.5,914.5,24.5,129.0,1.0,3428.83,2.83,3.0,1201.83,3.0,7313.58,19998.36,0.0,0.0,5.0,0
sample_14,23.5,17861.0,117.5,359.0,957.5,6.0,0.0,7.0,133.0,3.5,4.0,9.0,231.0,516.0,21.0,2.0,566602.07,42.0,998615.48,0.0,75.0,37156.33,4794.0,9244.08,6.0,28.0,290152.42,5.0,0.0,56.0,19.0,2.0,48.5,1149.0,5.0,5.08,5788.75,10.0,413527.5,515.5,2.0,3.0,0.0,2.0,2296.17,13143.5,0.0,26.0,28.0,19.17,116.5,0.0,7.0,1.0,22.0,13.0,114828.33,0.0,0.0,133713.0,203.0,92996.17,93.0,0.0,10.0,20.83,4.5,0.0,803.5,16.0,0.0,2074.5,37.0,0.0,4.5,0.0,0.0,28996.5,5.0,552.17,1.0,1.0,365.75,211.0,1.34,1.0,169.33,50.0,0.0,4.0,0.83,0.0,66.0,55595.0,0.0,861.0,3999.0,26868.75,1.5,0.0,162.0,0.0,184.0,1347.59,1344.09,4.0,129.5,150886.42,2.5,9.0,10793.5,2967.67,212006.12,5.25,5.5,1037.0,0.0,10.5,0.0,0.0,3.0,0.0,2.0,74.0,171.0,697.5,13.0,201.0,1277077.42,25.0,0.0,0.0,99.83,0.0,0.0,0.0,17.0,10.0,47300.0,78.0,109.0,57.5,0.0,6.0,0.58,11.25,0.0,0.0,87.0,23.5,467.0,0.0,6365.0,12.0,1.0,2.5,206.5,2138.66,5.0,1.0,3435.42,1.0,25.0,1.0,9.0,20.0,0.0,116.5,0.0,10343.5,7.0,18.0,5.0,48.0,1.0,3.0,79.5,569273.66,7.5,19.0,0.0,7.0,2.0,0.0,24.5,36002.83,1177.0,24.5,93.0,0.0,4382.0,4.0,3.0,1962.67,7.0,8358.0,11217.57,0.0,0.0,2.0,0
sample_15,9.0,16519.5,121.0,271.0,1272.5,7.0,4.0,4.0,74.0,4.0,21.0,11.0,223.0,1019.75,23.0,2.0,797269.73,41.5,1416219.62,1.0,90.0,29968.83,3816.0,7953.83,4.0,18.0,272807.33,0.0,1.0,37.0,6.0,1.0,65.08,636.33,1.5,2.0,6938.33,7.0,297630.25,558.5,3.0,3.0,2.0,2.0,2020.0,6955.67,0.0,41.0,19.0,14.0,537.83,6.0,34.0,1.0,16.0,5.0,121470.17,2.0,0.33,73699.25,276.0,114196.67,47.5,0.0,12.5,15.0,9.75,0.0,321.5,7.0,3.0,982.83,44.0,2.0,8.75,0.0,0.0,27090.17,6.0,614.17,0.0,0.0,217.92,262.0,0.0,0.0,398.5,59.5,7.0,3.0,1.0,0.5,189.0,37588.5,1.0,780.5,5989.0,7806.5,0.5,0.0,97.0,2.0,214.5,1713.74,1712.74,0.0,46.0,125060.0,7.0,11.0,11543.17,2500.0,157481.84,12.75,5.5,1933.5,0.0,2.0,3.0,0.5,1.0,0.0,1.0,54.0,147.5,311.0,8.0,114.0,2588115.33,44.0,0.0,0.0,95.0,0.0,0.0,0.0,19.67,6.0,27155.75,234.0,216.0,16.0,0.0,4.0,0.33,6.0,0.0,0.0,24.0,25.25,1161.0,0.0,5049.5,12.0,7.0,4.0,465.33,2037.5,10.0,0.0,3506.17,13.0,23.0,1.0,20.0,20.0,0.0,75.0,0.5,3969.92,1.0,9.0,6.0,48.0,0.0,2.0,84.0,466564.16,8.0,13.0,0.0,6.0,1.0,0.0,11.75,22813.33,1188.0,11.75,69.0,0.0,4901.5,5.83,0.0,2339.67,3.5,15617.42,8261.13,0.0,1.0,6.0,0
sample_16,9.5,18390.0,25.5,245.0,1325.5,16.0,5.0,4.0,97.0,3.0,8.0,10.0,367.0,683.5,14.0,1.0,576667.41,27.5,975637.65,0.0,72.0,53534.67,5946.0,6957.75,2.0,45.0,340826.92,0.0,1.0,38.0,2.0,0.0,52.25,1654.5,6.5,3.67,4942.17,3.0,481628.92,469.0,1.0,2.0,0.0,2.0,1809.58,13377.83,0.0,20.0,14.0,16.5,291.0,5.0,16.0,1.0,32.0,31.0,131765.17,3.0,0.0,153126.33,174.0,89537.33,82.5,0.0,11.0,25.17,4.17,0.0,1431.33,17.0,3.0,1948.5,49.5,1.0,4.17,0.0,0.0,25680.67,7.0,408.0,1.0,1.0,338.0,188.0,0.0,2.0,229.0,37.0,0.0,3.0,4.5,0.0,76.0,70223.0,2.0,599.0,3032.83,31523.25,0.5,1.0,157.0,2.0,106.5,721.0,720.0,3.0,88.33,168282.17,2.0,8.0,14863.5,3600.83,245573.3,11.25,4.0,834.5,0.0,18.5,3.0,0.0,2.0,0.5,1.0,118.0,169.0,595.83,7.0,169.5,1695951.75,20.0,2.0,0.0,78.0,0.0,0.0,0.0,19.0,13.0,76945.25,134.5,86.0,33.0,0.0,0.0,0.25,4.0,0.5,0.5,65.0,25.0,386.0,0.0,5664.0,18.0,1.5,2.5,263.33,1775.84,4.0,0.0,3537.92,4.0,13.0,3.0,12.0,20.0,1.0,183.83,0.0,10776.0,4.0,10.0,2.0,35.0,0.0,1.0,90.0,767348.84,12.5,12.0,0.0,9.0,2.0,0.0,25.5,32384.17,1026.83,26.5,173.0,1.0,4055.25,2.5,3.0,1653.83,7.0,8325.17,13381.56,0.0,0.0,2.0,0
sample_17,4.0,19125.0,33.0,253.0,1840.5,9.0,2.0,6.0,73.0,2.0,7.0,17.5,423.0,859.0,0.0,0.0,742110.73,29.0,1218576.91,2.0,81.0,58572.5,7789.33,6547.83,2.0,39.0,368519.0,5.0,0.0,49.0,12.0,3.0,66.33,1508.17,1.83,9.0,6447.83,11.0,585066.83,400.0,3.0,2.0,0.0,1.0,2316.42,16201.5,0.0,27.0,40.0,20.0,221.83,2.0,15.0,2.0,28.0,7.0,131933.17,1.0,0.92,186891.17,229.0,101417.5,88.17,0.0,8.5,16.33,10.0,0.0,1430.17,19.0,3.0,1760.83,61.0,0.0,10.0,0.0,0.0,32949.5,9.0,445.0,0.67,0.67,330.25,217.5,0.0,0.0,289.5,64.0,0.0,4.0,26.0,0.0,126.0,76559.25,2.0,813.0,2855.5,28894.5,2.0,0.0,184.5,0.0,207.5,1101.34,1100.34,2.0,112.5,205491.58,4.0,8.0,19115.33,3120.5,262988.27,12.75,4.33,869.5,0.0,8.0,0.33,0.0,2.0,0.5,0.0,119.5,228.0,786.5,3.0,206.0,2035134.67,36.0,1.0,0.0,76.5,0.0,0.0,0.0,17.33,10.0,78997.5,153.0,74.0,27.0,0.0,6.0,0.83,15.0,0.0,0.0,85.0,28.67,537.0,0.33,5517.5,20.0,3.0,4.5,218.0,2102.0,1.0,0.0,4724.58,3.0,17.0,1.0,7.0,23.5,0.0,172.0,0.0,11158.42,3.0,16.0,2.0,48.0,1.0,2.0,117.5,882933.66,12.5,10.0,1.0,8.0,6.0,0.83,21.5,36550.42,1216.0,21.5,150.0,1.0,5317.75,4.0,5.0,1884.5,13.5,9763.25,14135.79,0.0,0.0,7.0,0
sample_18,22.5,36440.0,76.5,460.0,1474.0,16.0,3.0,8.0,85.0,2.5,11.0,8.5,348.0,874.0,2.0,4.0,755399.07,31.5,1272135.61,1.0,32.0,56560.33,8533.0,11526.17,4.0,20.0,463757.17,2.0,1.0,58.0,16.0,1.0,21.0,1856.08,1.0,9.33,4492.92,32.0,584189.58,865.5,4.0,3.0,1.0,2.0,2103.75,21435.17,0.0,14.0,30.0,11.0,119.5,1.0,50.0,4.0,11.0,26.0,172301.0,2.0,0.58,171703.25,138.0,103090.92,44.33,1.0,4.0,23.0,8.5,0.0,1330.33,4.0,1.0,2069.5,92.0,0.0,8.5,0.0,2.0,36241.83,15.0,752.17,1.33,1.33,248.92,335.0,0.0,0.0,321.0,55.0,1.0,2.0,17.0,0.0,101.0,70163.83,1.0,488.33,3964.5,44574.83,2.0,0.0,65.0,1.0,213.33,771.58,770.58,2.0,132.0,192703.33,4.0,27.0,15309.25,2698.67,352893.94,3.0,3.5,1034.17,0.0,15.5,1.0,2.0,2.0,0.5,1.0,157.0,103.5,824.33,7.0,625.83,1386435.5,16.0,0.0,0.0,108.5,0.0,0.0,0.0,8.33,7.5,96763.83,81.0,85.0,44.0,0.0,3.0,0.25,5.0,0.0,0.0,131.0,17.0,366.0,0.33,4487.5,9.0,1.0,3.5,215.0,1961.5,6.0,0.0,2240.67,1.0,26.5,0.0,2.0,11.0,0.0,138.83,0.0,13182.92,1.0,9.0,1.33,16.0,1.0,2.0,81.5,761242.84,11.5,52.0,0.0,2.5,1.0,1.33,23.5,35910.58,1179.5,23.5,194.5,0.0,4580.0,1.67,6.0,1120.0,10.0,9746.17,11821.58,0.0,0.0,3.0,0
sample_19,3.0,10478.0,31.0,214.0,1171.0,4.0,2.0,2.0,67.0,1.0,0.0,9.0,209.0,453.0,13.0,1.0,382682.5,12.0,601240.79,0.0,29.5,25083.83,4691.0,4810.0,1.0,15.0,174504.67,6.0,0.0,35.0,2.0,1.0,29.5,772.83,1.0,6.33,3223.92,13.0,280188.5,280.0,0.0,5.0,3.0,2.0,1265.08,8581.0,0.0,28.0,18.0,10.0,94.5,2.0,11.0,2.0,16.0,9.0,62467.5,0.0,0.0,90199.83,150.0,58970.25,55.17,0.0,7.0,27.0,6.0,0.0,798.5,13.0,0.0,833.5,36.0,0.0,6.0,0.0,3.0,17409.17,16.0,332.17,0.0,0.0,310.75,150.0,0.0,0.0,164.5,35.0,0.0,2.0,3.0,0.0,58.0,43130.25,1.0,602.0,1578.5,16571.5,0.0,0.0,93.0,0.0,104.0,804.0,800.0,3.0,87.0,109529.83,3.0,4.0,9279.5,1943.5,138195.95,5.25,5.5,708.83,0.0,1.0,0.0,0.0,0.0,1.0,1.5,64.0,142.5,475.0,9.0,108.0,899634.33,15.0,1.0,0.0,58.0,0.0,0.0,0.0,9.33,3.5,38879.17,102.0,67.0,24.0,0.0,0.0,0.0,11.0,0.0,0.0,57.0,27.5,265.0,0.33,3346.5,16.0,0.0,3.0,128.33,1219.16,4.0,0.0,3589.83,0.0,14.0,1.0,4.0,7.0,0.0,81.67,0.0,6445.17,3.0,7.0,0.25,31.0,0.0,2.0,45.0,467635.0,6.0,4.0,0.0,4.0,0.0,0.75,16.0,24780.92,693.5,16.0,84.0,0.0,2606.5,2.67,1.0,1330.0,5.0,4730.67,5635.66,0.0,1.0,0.0,0
sample_20,10.0,19085.5,43.0,331.0,1426.5,4.0,2.0,9.0,67.0,2.0,0.0,15.0,323.0,549.5,6.0,1.0,529173.07,27.0,923612.02,0.0,31.33,40121.42,6010.5,7700.67,7.0,13.0,253280.67,0.0,3.0,43.0,6.0,1.0,30.33,1263.0,0.0,11.5,3821.58,20.0,434789.5,499.0,0.0,1.0,0.0,1.0,2101.25,13952.17,0.0,20.0,30.0,14.83,306.0,1.0,13.0,6.0,18.0,9.0,99880.75,1.0,0.33,146412.33,183.0,82357.67,45.5,1.0,8.0,16.0,6.25,0.0,1058.0,18.0,0.0,1330.5,33.0,0.0,6.25,0.0,6.0,27483.33,4.0,534.33,0.0,0.0,277.0,170.5,0.0,0.0,231.0,47.5,1.0,5.0,18.5,0.33,87.0,56189.83,1.0,634.0,3449.25,25685.75,1.0,0.0,35.0,4.0,164.5,701.08,700.58,0.0,106.5,140532.08,2.0,4.0,11937.0,2110.17,236951.82,6.0,1.0,1069.0,0.0,8.0,1.0,3.0,4.0,1.0,1.0,96.0,113.0,706.5,7.5,280.5,1531949.08,13.0,3.0,0.75,100.0,0.0,0.0,0.0,8.67,6.25,62564.5,85.0,65.0,35.0,0.0,3.0,0.0,9.0,1.17,1.17,101.0,29.0,278.0,0.67,3888.83,16.0,1.0,0.0,161.5,1585.66,9.0,1.0,3028.92,3.0,22.0,0.0,6.0,22.0,0.0,143.5,0.0,9858.75,3.0,15.0,1.33,25.0,2.0,1.0,76.0,660650.66,8.5,21.0,0.0,0.0,1.0,1.0,17.0,32012.17,901.0,17.0,135.0,2.0,4196.5,0.0,1.0,1259.17,4.0,6572.25,10139.6,1.0,0.0,3.0,0
sample_21,1.0,14935.83,114.0,279.0,1087.83,7.0,4.0,5.0,31.5,3.0,12.0,14.83,178.0,1407.0,20.0,0.0,676805.31,45.5,1080106.31,0.0,40.0,29592.67,3881.5,5494.0,1.0,9.0,271530.75,0.0,0.0,29.0,22.0,1.0,25.33,548.83,4.0,4.0,5664.5,14.0,261958.5,858.0,0.0,5.0,1.0,0.0,1532.25,7933.33,0.0,22.0,15.0,2.5,179.5,0.0,31.0,0.0,14.0,8.0,142414.33,1.0,0.67,71392.5,192.0,103697.5,33.0,0.0,9.0,14.5,13.5,1.0,333.0,6.0,2.0,811.0,17.0,1.0,13.5,0.0,1.0,22160.0,4.0,474.5,0.0,0.0,74.33,254.5,0.0,1.0,385.0,67.0,4.0,0.0,3.0,0.0,120.5,32639.83,1.0,433.0,4335.0,11925.75,0.0,0.0,36.0,5.0,182.83,1415.58,1415.58,1.0,23.0,135497.92,8.0,31.0,11888.17,2226.0,182161.79,3.0,1.0,498.33,0.0,3.0,0.0,1.0,0.0,1.0,0.0,68.0,83.5,231.0,5.0,180.0,1577384.58,13.0,0.0,0.0,48.0,0.0,0.0,0.0,11.5,6.0,35949.67,107.5,151.0,16.0,0.0,12.0,0.33,5.0,0.0,0.0,20.0,16.25,1231.0,0.0,3036.5,13.0,7.0,3.0,389.0,1764.0,3.0,0.0,1990.83,13.0,15.0,0.0,5.0,7.0,0.0,86.0,0.0,7378.83,0.0,2.0,2.0,38.0,0.0,3.0,69.5,359565.16,8.5,17.0,0.0,3.0,0.0,0.0,10.0,19597.25,1053.0,10.0,95.0,0.0,4687.25,1.0,2.0,1301.58,4.0,15254.0,5531.25,0.0,0.0,6.0,0
sample_22,4.5,21161.0,58.5,221.0,1443.5,7.0,2.0,8.0,46.0,5.83,9.0,12.0,316.0,2101.5,18.0,2.0,863378.73,63.0,1234320.06,1.0,64.0,39904.67,5542.0,6939.0,3.0,9.33,307651.0,1.0,0.0,36.0,15.0,2.0,19.5,716.58,0.0,2.0,6776.67,7.0,337911.33,939.0,0.0,2.0,1.0,0.0,1969.58,10945.0,0.0,26.0,18.0,12.0,128.0,2.0,11.0,1.0,22.0,9.0,175342.17,1.0,1.33,105885.25,303.0,139711.25,44.5,1.0,10.0,8.83,13.25,0.0,544.83,7.0,1.0,883.0,43.0,1.0,13.25,0.0,1.0,27272.75,3.0,402.92,0.0,0.0,139.25,234.0,0.5,0.0,482.5,73.0,2.0,3.0,9.0,0.0,165.0,49608.08,2.0,683.0,4760.58,15522.75,0.0,0.0,61.0,4.0,257.0,1863.5,1863.5,1.0,57.0,186397.58,17.0,24.0,15027.0,2652.83,240633.26,3.75,2.5,740.0,0.0,1.0,2.0,0.0,2.5,1.0,1.5,62.25,96.5,370.0,1.0,229.25,1980443.83,16.0,1.0,0.0,58.5,0.0,0.0,0.0,11.0,9.25,44509.0,157.0,240.0,12.5,0.0,9.0,0.58,9.33,0.5,0.5,41.0,24.33,1361.0,0.0,3276.0,11.0,10.0,5.5,500.17,2291.66,4.0,1.0,3199.75,11.0,16.5,2.0,12.0,8.0,0.0,103.5,0.0,9000.17,0.5,11.0,0.0,65.0,1.0,3.0,100.5,442443.5,10.0,19.0,0.0,3.5,0.0,0.58,13.5,25347.75,1418.5,13.5,133.0,0.0,5802.08,0.0,1.0,2168.5,3.0,18458.83,7939.62,1.0,0.0,5.0,0
sample_23,3.0,16615.0,19.0,163.5,1134.0,8.0,2.0,7.0,46.0,4.0,1.0,8.0,206.0,927.0,5.0,3.0,573858.41,33.0,1036532.48,0.0,46.0,38153.33,5434.83,4382.5,3.0,18.0,253616.08,1.0,2.0,40.0,9.0,2.0,24.83,929.83,2.0,2.33,3377.33,6.0,335980.33,419.0,2.0,1.0,0.0,0.0,1401.5,11383.0,0.0,23.0,8.0,5.0,139.0,1.0,13.0,1.0,12.0,10.0,103522.0,0.0,0.67,107869.17,126.0,93711.17,41.83,1.0,7.5,22.5,3.83,0.0,831.25,6.0,3.0,1164.0,22.0,0.0,3.83,0.0,0.0,19070.33,6.0,276.67,0.25,0.25,143.67,188.5,0.0,6.0,248.83,22.5,0.0,3.0,2.0,0.5,72.0,43934.67,1.0,450.5,2415.0,21766.75,3.0,0.0,85.0,2.0,117.0,634.76,632.76,2.0,47.0,156106.33,2.0,62.0,12078.33,2171.0,182652.73,3.0,2.0,502.5,0.0,11.5,1.0,0.5,1.0,0.5,0.0,62.0,105.0,442.0,2.0,173.83,1334584.58,20.0,1.0,0.0,42.5,0.0,0.0,0.0,9.0,7.75,43081.0,83.0,113.0,16.0,0.0,3.0,0.0,7.0,0.0,0.0,49.0,15.0,537.0,0.33,4567.0,10.0,0.0,5.0,238.0,1637.34,0.0,0.0,2807.83,4.0,14.0,0.0,9.0,12.0,0.0,114.0,0.0,9071.67,2.5,3.0,1.5,54.0,1.0,2.0,72.0,452765.16,3.5,13.0,0.0,2.0,0.0,0.25,11.0,22775.83,977.5,11.0,142.0,0.0,3058.0,2.0,2.0,1224.0,5.0,10460.83,8982.6,1.0,0.0,2.0,0
