,hsa-let-7a-3p,hsa-let-7a-5p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-1,hsa-miR-100-5p,hsa-miR-101-3p,hsa-miR-103a-3p,hsa-miR-103b,hsa-miR-105-5p,hsa-miR-106b-5p,hsa-miR-107,hsa-miR-10a-5p,hsa-miR-1180-3p,hsa-miR-1185-1-3p,hsa-miR-1185-5p,hsa-miR-124-3p,hsa-miR-124-5p,hsa-miR-1247-3p,hsa-miR-1247-5p,hsa-miR-1249,hsa-miR-125a-5p,hsa-miR-125b-5p,hsa-miR-126-3p,hsa-miR-126-5p,hsa-miR-127-3p,hsa-miR-1271-5p,hsa-miR-128-3p,hsa-miR-129-1-3p,hsa-miR-129-2-3p,hsa-miR-129-5p,hsa-miR-1301-3p,hsa-miR-1306-5p,hsa-miR-130a-3p,hsa-miR-132-3p,hsa-miR-133a-3p,hsa-miR-135b-5p,hsa-miR-136-3p,hsa-miR-137,hsa-miR-138-5p,hsa-miR-140-3p,hsa-miR-140-5p,hsa-miR-142-3p,hsa-miR-142-5p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-146a-5p,hsa-miR-146b-5p,hsa-miR-148a-3p,hsa-miR-148b-3p,hsa-miR-148b-5p,hsa-miR-149-5p,hsa-miR-150-5p,hsa-miR-152-3p,hsa-miR-153-3p,hsa-miR-155-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,hsa-miR-16-5p,hsa-miR-17-5p,hsa-miR-181b-5p,hsa-miR-181d-5p,hsa-miR-182-5p,hsa-miR-183-5p,hsa-miR-186-5p,hsa-miR-187-3p,hsa-miR-190b,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-194-5p,hsa-miR-195-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-199a-3p,hsa-miR-199a-5p,hsa-miR-199b-3p,hsa-miR-19b-3p,hsa-miR-200a-3p,hsa-miR-203a,hsa-miR-203b-5p,hsa-miR-204-5p,hsa-miR-20a-5p,hsa-miR-21-5p,hsa-miR-210-3p,hsa-miR-211-5p,hsa-miR-2110,hsa-miR-216a-3p,hsa-miR-216a-5p,hsa-miR-217,hsa-miR-218-5p,hsa-miR-22-3p,hsa-miR-223-3p,hsa-miR-224-5p,hsa-miR-23a-3p,hsa-miR-23b-3p,hsa-miR-24-3p,hsa-miR-25-3p,hsa-miR-26a-2-3p,hsa-miR-26a-5p,hsa-miR-26b-3p,hsa-miR-26b-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-299-5p,hsa-miR-29a-3p,hsa-miR-29b-3p,hsa-miR-29c-3p,hsa-miR-301a-3p,hsa-miR-30a-3p,hsa-miR-30a-5p,hsa-miR-30b-5p,hsa-miR-30c-2-3p,hsa-miR-30c-5p,hsa-miR-30d-3p,hsa-miR-30d-5p,hsa-miR-30e-3p,hsa-miR-30e-5p,hsa-miR-31-3p,hsa-miR-31-5p,hsa-miR-3184-5p,hsa-miR-323a-3p,hsa-miR-323b-3p,hsa-miR-324-5p,hsa-miR-328-3p,hsa-miR-329-3p,hsa-miR-331-3p,hsa-miR-335-3p,hsa-miR-335-5p,hsa-miR-337-5p,hsa-miR-339-3p,hsa-miR-340-5p,hsa-miR-342-3p,hsa-miR-34a-5p,hsa-miR-3529-3p,hsa-miR-361-3p,hsa-miR-361-5p,hsa-miR-3617-5p,hsa-miR-369-5p,hsa-miR-370-3p,hsa-miR-378a-3p,hsa-miR-379-5p,hsa-miR-381-3p,hsa-miR-382-5p,hsa-miR-409-3p,hsa-miR-409-5p,hsa-miR-423-3p,hsa-miR-424-5p,hsa-miR-425-3p,hsa-miR-432-5p,hsa-miR-451a,hsa-miR-452-3p,hsa-miR-452-5p,hsa-miR-454-3p,hsa-miR-455-3p,hsa-miR-455-5p,hsa-miR-484,hsa-miR-485-3p,hsa-miR-485-5p,hsa-miR-486-3p,hsa-miR-486-5p,hsa-miR-487a-3p,hsa-miR-487b-3p,hsa-miR-488-3p,hsa-miR-491-5p,hsa-miR-493-3p,hsa-miR-497-5p,hsa-miR-504-5p,hsa-miR-532-3p,hsa-miR-542-3p,hsa-miR-543,hsa-miR-551b-3p,hsa-miR-585-3p,hsa-miR-590-3p,hsa-miR-598-3p,hsa-miR-628-3p,hsa-miR-628-5p,hsa-miR-629-5p,hsa-miR-660-5p,hsa-miR-7-5p,hsa-miR-744-5p,hsa-miR-767-5p,hsa-miR-769-5p,hsa-miR-888-5p,hsa-miR-891a-5p,hsa-miR-891b,hsa-miR-892a,hsa-miR-892b,hsa-miR-9-3p,hsa-miR-9-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-93-5p,hsa-miR-95-3p,hsa-miR-96-5p,hsa-miR-98-5p,hsa-miR-99a-3p,Disese Group
sample_11,4833.34,1111278.92,235954.16,89385.83,149977.25,671222.99,187310.67,97923.33,36942.16,10297.5,372794.66,75975.98,75975.98,2524.16,298.5,13479.14,14.0,3299.5,461.33,934.0,162081.53,24100.05,10.0,166.0,75.0,849035.13,1431648.62,179375.5,42854.92,36477.83,176.0,143924.84,357.25,5237.58,46918.96,3306.08,609.0,18580.25,4503.0,5755.0,3733.33,1862.5,2896.0,8481.5,28826.33,7219.83,820.0,1151.33,47479.17,9454.17,6124.58,2990.83,20428.0,58024.17,393.0,20885.25,2873.0,14731.0,3000.66,412.0,42737.83,15117.08,895226.16,1548.0,16968.16,626.5,4192663.75,1686961.08,18010.17,2183.25,122118.0,428984.25,72254.67,20271.5,7852.75,8.5,1347.83,2628.12,1409.5,1313.06,27209.0,1084.0,1305.83,1305.83,321127.0,7406.0,95347.67,32945.75,115474.58,570.0,1739.5,7206.33,3754.0,26434.34,13706.5,5571.5,96.0,15561.0,47069.83,45547.87,39984.0,2026.5,480627.32,800.0,564232.75,12365.08,182486.08,2231.0,428694.33,352175.22,677169.19,8769.83,31614.67,155023.33,100355.5,1938.25,172346.34,1910.33,368504.17,31760.5,69589.0,317.0,15226.75,1553.29,13906.5,4993.5,4324.0,6542.0,2291.66,7490.33,1028.5,230967.75,788.83,3649.33,17265.17,265744.33,38302.92,14088.71,19009.0,29504.92,475.5,3637.0,2280.5,2314.08,15375.5,1242.33,17396.17,11531.0,1548.5,1553.29,386.0,3284.67,14375.67,1795.5,8.0,23.0,16906.0,362.0,580.0,657.08,6362.5,532.0,857.0,855.0,357.0,10555.83,1572.0,721.0,418.17,2883.33,648.83,1060.33,155.0,290.0,5996.5,35.5,2587.33,6137.5,2861.5,6227.33,994.0,5743.0,69588.05,3498.33,3600.5,7297.08,30.0,61.0,10.0,12.0,9.0,283870.24,2089010.68,32250.5,1631.0,37468.0,19694.33,609753.58,9529.58,2390.0,0
sample_12,3952.16,1133107.14,251762.66,95560.5,119298.0,673108.23,191951.58,90564.08,15356.34,15156.0,262018.48,73978.66,73978.66,1362.0,268.5,12059.48,18.0,3973.33,320.5,384.0,137445.65,12216.22,22.0,362.0,49.0,811431.89,1627637.62,217828.0,33362.0,22430.5,224.5,172714.0,362.33,5324.75,48607.28,3717.42,630.5,20724.0,6750.0,1785.0,1636.25,973.5,1493.0,8789.16,42204.83,6065.67,1011.0,2276.83,54654.08,5938.75,5895.5,4327.67,16340.5,49536.67,340.0,14738.92,2607.0,13064.67,1916.84,653.0,42475.92,15795.5,852486.84,1677.0,16150.34,485.5,4477767.5,1516126.83,16225.0,6515.25,220480.08,498292.66,70021.42,18130.16,10776.42,13.0,1526.0,2164.14,1264.34,1080.57,18363.34,1080.0,1058.83,1058.83,395640.0,9030.5,127965.92,32017.58,100413.83,700.0,2006.33,4657.75,3708.75,18278.16,12879.17,8744.25,185.0,18014.08,44347.16,45401.62,53034.5,1052.5,427882.82,847.33,555476.17,14620.42,188408.33,1655.5,372735.0,301667.37,527268.94,5648.5,31833.17,122252.33,80258.67,1874.0,148707.41,1599.42,333792.92,32572.5,50333.58,184.5,12496.33,1742.62,13599.0,2805.0,4166.33,4697.5,1627.0,7395.5,1057.0,219312.17,504.5,3191.5,16365.08,335523.33,37614.0,16170.21,18591.67,24060.17,116.0,2180.0,1644.5,2291.49,10161.75,807.83,14098.5,7964.5,656.5,1742.62,1413.0,2691.0,10207.0,1352.0,5.0,40.0,13680.0,228.0,377.0,664.08,4945.5,325.0,1103.34,1099.34,249.33,7793.5,1319.5,547.0,518.5,3947.92,769.42,1119.83,511.0,262.0,2231.33,27.0,2438.5,4745.83,3023.5,5929.0,1036.5,5073.5,80157.43,3727.5,1760.5,4826.75,106.0,189.0,45.0,52.0,41.0,288991.65,2201553.97,45909.0,3163.0,50713.17,18516.17,428039.08,7895.08,1482.0,0
sample_13,3497.34,907331.1,197415.91,71403.0,103995.33,520126.66,151251.33,73550.58,16270.5,10493.0,257097.66,54902.08,54902.08,1250.5,281.5,9338.5,7.0,3436.5,238.5,388.0,145680.53,19998.36,45.0,395.0,32.0,636926.23,1131016.96,130909.5,26279.83,25572.0,246.5,136873.66,329.25,4297.5,44348.96,2979.58,627.5,14561.58,3381.0,2704.5,1805.33,1283.5,2507.0,7132.0,31957.5,5776.0,642.0,1158.5,40799.0,6945.0,3428.83,3462.33,17657.5,53538.0,363.0,10706.83,2328.5,12391.0,1852.0,315.0,33196.42,10852.08,673032.16,1260.5,13521.5,469.5,3525991.08,1419822.0,17954.92,2080.33,196366.83,350160.25,71387.08,16609.16,7928.33,7.5,1201.83,1855.8,955.66,927.4,22404.16,1293.83,1648.42,1648.42,239003.67,6302.5,79496.58,23188.75,73994.75,495.0,2391.75,9357.83,7021.0,22197.66,13985.83,4828.0,126.0,12596.17,29521.0,30625.38,38931.5,1465.17,406255.16,646.0,449659.5,9494.25,135842.58,1083.0,377848.67,275360.07,565941.95,5534.0,25679.33,126544.0,76438.92,1684.33,134614.67,1714.75,311314.17,26975.5,60666.33,222.0,12611.33,1464.75,7329.5,2407.5,3356.0,5333.08,1371.34,7758.25,858.33,204676.75,450.17,2976.0,14950.75,287450.58,54231.33,12289.28,13837.0,17205.92,462.33,1553.0,1583.58,3000.16,8480.25,837.83,10735.5,5857.0,568.5,1464.75,2263.83,3046.83,8676.83,3115.0,11.0,32.5,12181.33,197.0,414.0,654.67,4196.0,352.0,1043.24,1040.24,196.0,5841.17,1675.5,539.33,343.33,2843.83,625.83,831.0,1685.5,154.0,2218.83,27.0,2438.5,4032.5,2109.0,4069.83,914.5,3902.25,60819.56,3041.5,2246.33,5602.5,8.0,24.0,3.0,7.0,3.0,246359.7,1640186.43,26757.5,1637.0,34383.5,17101.92,495777.92,7313.58,1606.0,0
sample_14,2176.66,998615.48,274106.0,104944.25,137022.08,566602.07,150886.42,92996.17,22763.66,14857.0,140031.0,68942.14,68942.14,1887.66,169.33,11494.74,9.0,4713.0,391.33,413.0,135794.69,11217.57,25.0,748.0,75.0,878863.97,1647735.46,140985.5,18839.0,29208.5,206.5,124876.66,340.25,5788.75,46458.78,3435.42,1087.5,17745.33,4190.0,4087.16,1523.0,913.83,1384.0,8068.0,36002.83,4794.0,516.0,898.33,34083.67,4777.33,4382.0,3999.0,17861.0,37156.33,231.0,18012.25,2961.83,13143.5,1024.0,467.0,23405.75,12124.33,569273.66,957.5,17533.16,505.0,3259261.17,1277077.42,12357.17,3567.17,176148.25,410570.0,55595.0,13214.84,9244.08,30.0,1962.67,1381.98,846.0,690.99,9634.34,758.5,645.58,645.58,326777.67,4967.5,62290.83,26868.75,104696.5,861.0,968.5,2876.33,1906.0,15861.66,9259.67,7752.75,181.0,17708.5,39633.17,39133.5,44961.5,803.5,415483.32,697.5,413527.5,10343.5,133713.0,1951.0,290152.42,202617.59,383926.71,3215.0,28996.5,114828.33,47300.0,2296.17,114161.91,1149.0,271503.67,21959.0,39827.83,201.0,17741.5,2088.5,12308.5,2005.0,3486.5,9455.5,2138.66,7629.58,846.0,148254.33,573.5,3622.0,8078.5,269009.75,37577.58,9850.75,19465.0,28877.67,116.5,2328.0,2806.5,3020.16,11567.5,1173.83,16560.17,8142.5,788.0,2088.5,776.75,2967.67,13716.33,603.0,4.0,22.0,10793.5,359.0,515.5,894.17,6365.0,658.0,1347.59,1344.09,211.0,8991.5,1203.25,800.0,552.17,3463.5,1037.0,1246.5,347.0,243.0,4598.58,117.5,869.0,3995.5,2301.0,3649.0,1177.0,3891.0,48743.51,5296.5,2132.33,5622.92,31.0,107.0,17.0,23.0,18.0,212006.12,1755347.02,38005.34,2767.83,36651.25,14225.67,322771.08,8358.0,2074.5,0
sample_15,622.0,1416219.62,366578.0,185912.83,149495.75,797269.73,125060.0,114196.67,17203.0,26011.33,66322.66,79220.18,79220.18,3636.66,398.5,10908.92,11.0,9453.5,109.83,411.0,663639.41,8261.13,21.0,1367.0,90.0,678244.23,914465.64,61855.25,5769.67,45110.0,465.33,68445.5,441.75,6938.33,54698.62,3506.17,523.5,3966.5,7393.0,4531.0,3294.83,949.83,2473.5,12995.16,22813.33,3816.0,1019.75,273.25,69106.25,4445.0,4901.5,5989.0,16519.5,29968.83,223.0,20319.58,1817.0,6955.67,529.5,1161.0,13035.42,5428.58,466564.16,1272.5,42852.16,1515.5,3211730.5,2588115.33,6769.67,1551.0,132086.0,153532.5,37588.5,7651.16,7953.83,27.0,2339.67,2203.96,415.0,1101.48,4114.34,767.5,727.17,727.17,300969.17,6244.0,75824.08,7806.5,84780.75,780.5,735.5,3696.92,5549.33,8122.0,12296.5,2010.0,38.0,13075.08,36193.0,28938.62,28624.0,321.5,762730.98,311.0,297630.25,3969.92,73699.25,1241.0,272807.33,112252.98,247272.57,882.5,27090.17,121470.17,27155.75,2020.0,58985.34,636.33,333476.17,16983.5,33714.67,114.0,18150.0,3511.08,9687.5,2279.0,2308.5,6669.83,2037.5,4698.67,1151.5,41324.67,320.0,3999.33,8432.33,256503.83,21206.17,7192.0,8892.5,27043.0,537.83,2929.0,1615.0,10459.23,15940.5,2213.67,11461.67,6635.5,1155.0,3509.33,380.0,2500.0,12277.5,364.5,0.0,6.0,11543.17,271.0,558.5,3866.75,5049.5,2097.0,1713.74,1712.74,262.0,5503.0,3792.83,1482.5,614.17,846.0,1933.5,656.0,327.0,509.0,1894.67,121.0,635.5,4654.0,1934.0,6092.5,1188.0,4163.5,35405.74,6712.58,1606.83,6402.92,24.0,65.0,5.0,10.0,5.0,157481.84,1458985.52,59470.0,6243.25,15791.5,9118.58,568166.08,15617.42,982.83,0
sample_16,3817.66,975637.65,224574.83,72512.67,130766.17,576667.41,168282.17,89537.33,32889.66,9997.5,306058.82,73108.86,73108.86,1280.0,229.0,12113.99,8.0,3480.5,408.5,499.66,166081.22,13381.56,8.0,180.0,72.0,711394.97,1395796.96,169025.0,36411.92,29537.0,263.33,153595.84,302.83,4942.17,53500.28,3537.92,789.0,13496.58,3231.5,5480.66,2067.5,1386.0,1658.0,10039.34,32384.17,5946.0,683.5,738.25,35246.75,5157.08,4055.25,3032.83,18390.0,53534.67,367.0,17221.42,4463.0,13377.83,2591.66,386.0,29538.75,12034.08,767348.84,1325.5,15720.66,583.0,3527068.67,1695951.75,16945.92,1779.83,201983.08,361778.16,70223.0,17797.34,6957.75,4.0,1653.83,2014.64,1124.66,1005.82,19781.84,858.5,792.67,792.67,265791.67,8749.0,75374.67,31523.25,87754.83,599.0,1419.17,6709.83,3136.5,22136.66,10598.42,4011.5,109.0,13096.33,36383.33,36907.74,37878.0,1431.33,510676.98,595.83,481628.92,10776.0,153126.33,2316.0,340826.92,283682.08,504906.29,7509.5,25680.67,131765.17,76945.25,1809.58,131022.0,1654.5,352761.75,26931.0,67269.75,169.5,12703.33,1695.04,8894.0,3544.5,4059.0,9034.0,1775.84,8231.67,1037.17,181661.58,653.33,3793.5,14716.92,271357.0,29629.67,12016.92,14506.42,23500.0,291.0,2211.0,2337.0,2154.66,13514.25,1336.75,13338.33,8614.5,951.0,1695.04,2757.17,3600.83,12416.17,411.5,4.0,14.5,14863.5,245.0,469.0,799.67,5664.0,557.0,721.0,720.0,188.0,6785.67,1846.33,652.0,408.0,2475.25,834.5,1211.0,1935.5,224.0,3453.33,25.5,2372.0,5249.0,2258.5,3742.5,1026.83,4195.0,59434.72,3955.75,1366.33,5419.33,41.0,77.0,20.0,10.0,15.0,245573.3,1860751.49,30789.0,1562.5,41726.0,17816.67,523286.08,8325.17,1948.5,0
sample_17,3719.0,1218576.91,255474.0,94602.33,156404.91,742110.73,205491.58,101417.5,31208.5,12540.83,267175.98,79891.52,79891.52,1920.5,289.5,12796.9,8.0,4948.0,370.0,547.0,154325.15,14135.79,11.0,387.0,81.0,921755.46,1399061.96,174248.5,29630.5,30117.5,218.0,163130.5,382.58,6447.83,59703.12,4724.58,1072.5,15380.08,4966.0,4309.5,2878.5,1312.5,2413.0,8106.5,36550.42,7789.33,859.0,1164.42,38152.67,5066.0,5317.75,2855.5,19125.0,58572.5,423.0,18633.08,3267.5,16201.5,1744.5,537.0,32712.67,15301.0,882933.66,1840.5,17263.66,580.0,4760660.75,2035134.67,14944.0,1235.5,275858.08,519356.25,76559.25,20300.84,6547.83,61.0,1884.5,2036.64,1013.34,1017.32,16683.5,777.33,653.67,653.67,318091.08,7331.0,108036.67,28894.5,91631.42,813.0,1903.58,5345.0,4469.83,27008.84,12464.42,6073.75,163.0,17127.67,47544.58,46844.0,45269.5,1430.17,483656.82,786.5,585066.83,11158.42,186891.17,2415.0,368519.0,323086.81,522971.53,6892.0,32949.5,131933.17,78997.5,2316.42,155544.34,1508.17,340075.33,29996.67,50345.17,206.0,15234.5,2545.12,11110.5,1989.5,4228.17,8653.0,2102.0,8700.0,938.33,194780.83,672.17,3703.5,14276.0,354642.33,36801.33,13738.78,18043.08,27825.75,221.83,2887.5,3232.67,4412.82,17137.75,1134.33,15348.17,9762.5,1069.5,2545.12,799.25,3120.5,14335.25,1353.5,11.0,43.0,19115.33,253.0,400.0,875.17,5517.5,645.0,1101.34,1100.34,217.5,9241.0,1372.33,833.0,445.0,2002.58,869.5,1292.83,510.0,296.0,4125.83,33.0,2374.83,5433.5,2922.0,6198.5,1216.0,4602.0,67712.3,5017.83,3740.5,5462.5,38.0,82.0,18.0,11.0,9.0,262988.27,2022075.79,42293.16,2255.5,43152.0,21462.0,491669.75,9763.25,1760.83,0
sample_18,4299.84,1272135.61,281413.16,126632.92,131208.33,755399.07,192703.33,103090.92,7311.84,19589.0,284896.32,65738.3,65738.3,2455.0,321.0,10483.41,27.0,2981.5,310.0,552.0,113168.02,11821.58,38.0,784.0,32.0,756730.73,1677585.78,159477.0,31561.0,28555.0,215.0,124544.66,275.75,4492.92,44123.62,2240.67,453.0,32011.75,5973.0,968.84,2700.83,1869.5,1871.5,7818.84,35910.58,8533.0,874.0,948.0,30155.75,2889.67,4580.0,3964.5,36440.0,56560.33,348.0,13297.33,2241.83,21435.17,3075.66,366.0,35744.58,11723.83,761242.84,1474.0,16544.66,634.5,3670888.0,1386435.5,18997.0,3167.83,249602.0,413226.0,70163.83,18810.66,11526.17,47.5,1120.0,1802.48,885.0,900.24,24060.34,1449.0,1388.54,1388.54,234772.33,5112.33,116019.67,44574.83,72777.17,488.33,959.5,2796.08,2972.5,19718.5,13829.58,4819.5,380.0,20392.33,40661.5,41213.61,44353.5,1330.33,422444.98,824.33,584189.58,13182.92,171703.25,1939.0,463757.17,266273.23,600433.04,5281.5,36241.83,172301.0,96763.83,2103.75,169352.59,1856.08,359257.58,32747.5,54934.08,625.83,28746.25,1499.17,11063.5,2126.0,3681.33,4295.83,1961.5,6022.5,913.0,277711.58,764.17,2233.0,18113.83,236599.5,19771.83,15647.49,27869.75,31863.83,119.5,3323.0,1522.5,2523.41,12951.5,1218.0,16665.33,7198.25,752.0,1499.17,863.0,2698.67,10442.67,912.0,32.0,83.5,15309.25,460.0,865.5,410.83,4487.5,378.0,771.58,770.58,335.0,8752.0,1668.0,647.0,752.17,3749.08,1034.17,709.67,600.5,274.0,4276.92,76.5,3372.83,5917.5,2108.0,5706.0,1179.5,5332.0,77628.23,3063.92,3679.75,5339.5,46.0,73.0,25.0,28.0,18.5,352893.94,2250707.98,27854.0,1811.0,30416.83,21170.0,465466.5,9746.17,2069.5,0
sample_19,1914.66,601240.79,144127.75,43487.83,84228.08,382682.5,109529.83,58970.25,18783.66,7227.5,152036.0,42008.96,42008.96,798.66,164.5,6698.12,4.0,3073.0,159.5,304.0,74715.37,5635.66,16.0,427.0,29.5,542275.23,908915.14,114735.0,16038.08,15030.5,128.33,87868.16,235.42,3223.92,36798.64,3589.83,749.0,12575.0,3180.33,2044.16,1040.33,631.5,979.0,4606.34,24780.92,4691.0,453.0,771.83,18238.5,2687.67,2606.5,1578.5,10478.0,25083.83,209.0,12199.17,2682.0,8581.0,1078.0,265.0,16539.42,7426.25,467635.0,1171.0,10600.5,303.5,2572737.33,899634.33,8139.58,1377.0,158417.92,323749.75,43130.25,11099.16,4810.0,7.0,1330.0,1076.98,686.66,537.99,10376.16,462.5,416.92,416.92,168800.42,4316.83,52164.75,16571.5,56550.5,602.0,1043.33,2750.5,2035.5,13879.16,7483.42,4973.5,80.0,9572.67,22457.58,27254.38,29834.75,798.5,224900.82,475.0,280188.5,6445.17,90199.83,1326.5,174504.67,184587.76,279797.72,3656.5,17409.17,62467.5,38879.17,1265.08,83631.34,772.83,172780.17,17558.33,30969.83,108.0,7300.25,1716.5,6317.5,1872.0,3069.5,5210.42,1219.16,5463.75,543.5,123530.42,437.33,1919.67,6398.67,175661.83,21049.08,6492.0,10429.33,12782.67,94.5,1413.5,2625.0,2850.24,10976.25,538.0,9073.17,6000.0,505.0,1716.5,345.33,1943.5,8725.33,526.0,2.0,13.5,9279.5,214.0,280.0,430.0,3346.5,307.0,804.0,800.0,150.0,4869.33,515.5,556.5,332.17,1639.75,708.83,695.0,131.0,141.0,2014.5,31.0,1135.5,2858.5,1472.5,2682.0,693.5,2153.0,31847.12,2939.08,1784.0,2380.5,20.0,57.0,12.0,9.0,16.0,138195.95,1067232.83,23752.5,1515.0,28468.5,11528.5,207330.17,4730.67,833.5,0
sample_20,2680.0,923612.02,218641.41,84369.75,102327.67,529173.07,140532.08,82357.67,9519.34,12344.5,196380.82,55055.9,55055.9,1495.66,231.0,7951.76,4.0,3882.83,193.0,289.0,99269.25,10139.6,52.0,705.0,31.33,635017.56,1291978.8,130841.5,16395.83,19283.5,161.5,121484.16,247.75,3821.58,40689.96,3028.92,712.5,21908.25,4283.0,1118.0,1758.5,825.5,1353.0,5526.34,32012.17,6010.5,549.5,873.5,24055.0,2489.08,4196.5,3449.25,19085.5,40121.42,323.0,9495.33,2059.33,13952.17,1457.5,278.0,26196.92,10099.33,660650.66,1426.5,14022.16,500.5,3726846.83,1531949.08,13040.25,2307.5,233034.42,456311.0,56189.83,15619.84,7700.67,2.0,1259.17,1366.32,809.0,682.66,16165.16,654.5,1147.58,1147.58,255262.25,4866.5,79307.83,25685.75,63363.75,634.0,1484.17,4098.58,3179.83,19077.5,10263.67,3971.25,152.0,13406.5,32620.08,37304.99,34822.0,1058.0,335039.32,706.5,434789.5,9858.75,146412.33,1164.5,253280.67,254921.41,391515.12,5638.5,27483.33,99880.75,62564.5,2101.25,119657.33,1263.0,246110.17,23820.5,37988.17,280.5,17309.5,2070.92,6189.0,1503.5,3995.5,5752.33,1585.66,6823.33,833.0,229934.58,614.0,2886.0,10513.5,267261.0,20566.83,10676.33,19224.17,20527.08,306.0,1571.5,2071.25,3076.41,9495.0,721.67,11542.0,5563.5,438.5,2070.92,1374.0,2110.17,9033.25,706.5,5.0,41.5,11937.0,331.0,499.0,496.5,3888.83,295.5,701.08,700.58,170.5,6440.67,1052.5,590.0,534.33,2627.33,1069.0,895.5,589.0,203.0,4220.33,43.0,1832.58,3331.0,2191.5,4566.5,901.0,3163.0,52902.03,3467.0,2840.0,4088.75,47.5,100.0,22.0,23.0,13.0,236951.82,1691903.49,30059.0,2007.0,30739.17,14666.5,387235.83,6572.25,1330.5,0
sample_21,793.0,1080106.31,283519.66,119319.67,138842.5,676805.31,135497.92,103697.5,50392.84,21385.5,107245.0,76895.42,76895.42,2269.0,385.0,12644.17,31.0,3438.5,163.0,933.0,536078.35,5531.25,4.0,42.0,40.0,498380.23,859833.48,64866.0,8338.0,48421.5,389.0,46622.34,530.42,5664.5,46642.12,1990.83,180.0,3061.5,4154.0,12183.0,4680.5,1602.0,2052.5,31601.34,19597.25,3881.5,1407.0,425.83,48403.83,3122.08,4687.25,4335.0,14935.83,29592.67,178.0,26163.67,836.25,7933.33,1119.5,1231.0,10877.33,4819.75,359565.16,1087.83,36378.0,1774.5,1901316.83,1577384.58,6606.83,1018.0,150136.5,120516.33,32639.83,8352.16,5494.0,55.0,1301.58,2620.46,409.66,1309.23,4995.5,841.0,892.92,892.92,261615.42,6018.5,89990.42,11925.75,54592.17,433.0,433.33,3507.33,4370.83,8946.0,10834.33,1270.25,48.0,19927.0,32363.92,28999.75,18829.0,333.0,730758.82,231.0,261958.5,7378.83,71392.5,2723.5,271530.75,125364.64,280260.57,1553.0,22160.0,142414.33,35949.67,1532.25,62845.16,548.83,300751.08,15433.67,44457.33,180.0,24314.33,2166.25,7342.0,2524.0,2077.5,3119.17,1764.0,2705.5,790.0,34785.5,723.0,2343.0,10105.83,153472.5,41223.42,7657.71,6421.5,19884.0,179.5,3223.0,1145.0,3315.74,26482.75,2765.0,12466.5,6403.0,2237.5,2166.0,109.0,2226.0,11003.92,2766.5,1.0,11.0,11888.17,279.0,858.0,2462.17,3036.5,2170.33,1415.58,1415.58,254.5,5468.0,3392.25,1648.0,474.5,617.5,498.33,418.67,60.0,509.0,1475.5,114.0,853.0,5579.25,957.83,4501.0,1053.0,4730.0,37996.93,3521.0,855.5,5287.33,18.0,38.0,7.0,6.0,2.0,182161.79,1609113.0,30132.16,2750.5,13456.0,8025.5,506970.17,15254.0,811.0,0
