,hsa-miR-585-5p,hsa-miR-448,hsa-miR-10a-5p,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-6513-3p,hsa-miR-6861-3p,hsa-let-7c-5p,hsa-miR-888-5p,hsa-miR-1271-5p,hsa-miR-92a-3p,hsa-miR-98-5p,hsa-miR-484,hsa-miR-30b-5p,hsa-miR-425-3p,hsa-miR-4429,hsa-miR-615-3p,hsa-let-7a-5p,hsa-miR-193b-5p,hsa-miR-455-3p,hsa-miR-5680,hsa-miR-1249,hsa-miR-30a-5p,hsa-miR-106a-5p,hsa-miR-324-5p,hsa-miR-431-3p,hsa-miR-196a-5p,hsa-miR-6887-3p,hsa-miR-6810-3p,hsa-miR-29a-3p,hsa-miR-182-5p,hsa-miR-7113-3p,hsa-miR-3663-5p,hsa-miR-671-3p,hsa-miR-616-3p,hsa-miR-211-3p,hsa-miR-579-5p,hsa-miR-146b-3p,hsa-miR-31-3p,hsa-miR-1180-3p,hsa-miR-1269b,hsa-miR-6895-3p,hsa-miR-770-5p,hsa-miR-222-3p,hsa-miR-4646-3p,hsa-miR-148b-3p,hsa-miR-4428,hsa-miR-660-5p,hsa-miR-3150a-5p,hsa-miR-3167,hsa-miR-7157-5p,hsa-miR-3591-3p,hsa-miR-501-5p,hsa-miR-6864-5p,hsa-miR-3612,hsa-miR-449c-5p,hsa-miR-27a-3p,hsa-miR-148a-3p,hsa-miR-6830-3p,hsa-miR-4798-5p,hsa-miR-203b-5p,hsa-miR-6759-5p,hsa-miR-515-3p,hsa-miR-6884-5p,hsa-miR-30e-5p,hsa-miR-337-5p,hsa-miR-488-5p,hsa-miR-146b-5p,hsa-miR-125b-2-3p,hsa-miR-4536-3p,hsa-miR-27b-3p,hsa-miR-1248,hsa-miR-6852-3p,hsa-miR-101-5p,hsa-miR-455-5p,hsa-miR-1185-1-3p,hsa-miR-4667-3p,hsa-miR-1297,hsa-miR-548m,hsa-miR-4286,hsa-miR-576-5p,hsa-miR-873-5p,hsa-miR-3667-5p,hsa-miR-210-3p,hsa-miR-4659a-5p,hsa-miR-4476,hsa-miR-1291,hsa-miR-34c-3p,hsa-miR-370-5p,hsa-miR-423-3p,hsa-let-7d-3p,hsa-miR-3182,hsa-miR-345-3p,hsa-miR-504-5p,hsa-miR-3681-5p,hsa-miR-26a-2-3p,hsa-miR-6515-3p,hsa-miR-339-3p,hsa-miR-6818-5p,hsa-miR-4714-3p,hsa-miR-7845-5p,hsa-miR-6881-3p,hsa-miR-653-3p,hsa-miR-152-3p,hsa-miR-3168,hsa-miR-92a-1-5p,hsa-miR-4999-5p,hsa-miR-3684,hsa-miR-377-3p,hsa-miR-1910-5p,hsa-miR-6846-3p,hsa-miR-4444,hsa-miR-10b-5p,hsa-miR-155-5p,hsa-miR-520a-5p,hsa-miR-202-5p,hsa-miR-487a-3p,hsa-miR-6826-3p,hsa-miR-365a-5p,hsa-miR-652-5p,hsa-miR-518b,hsa-miR-3130-3p,hsa-miR-320b,hsa-miR-5010-3p,hsa-miR-6866-5p,hsa-miR-1197,hsa-miR-7-1-3p,hsa-miR-452-3p,hsa-miR-92b-3p,hsa-miR-629-3p,hsa-miR-1185-2-3p,hsa-miR-194-5p,hsa-miR-5001-3p,hsa-miR-362-3p,hsa-miR-3202,hsa-miR-4787-3p,hsa-miR-214-5p,hsa-miR-485-3p,hsa-miR-6838-5p,hsa-miR-2681-3p,hsa-miR-6729-5p,hsa-miR-4635,hsa-let-7a-3p,hsa-miR-548l,hsa-miR-24-1-5p,hsa-miR-3925-3p,hsa-miR-191-3p,hsa-miR-326,hsa-miR-3613-5p,hsa-miR-6862-3p,hsa-miR-3911,hsa-miR-5699-5p,hsa-miR-4639-3p,hsa-miR-199a-3p,hsa-miR-149-3p,hsa-miR-3140-3p,hsa-miR-483-3p,hsa-miR-642b-5p,hsa-miR-514a-5p,hsa-miR-6812-3p,hsa-miR-193a-3p,hsa-miR-520b,hsa-miR-6792-3p,hsa-miR-3934-3p,hsa-miR-520c-3p,hsa-miR-578,hsa-miR-664b-3p,hsa-miR-4677-5p,hsa-miR-3656,hsa-miR-3192-5p,hsa-miR-135b-5p,hsa-miR-26a-1-3p,hsa-miR-6739-3p,hsa-miR-6747-3p,hsa-miR-5001-5p,hsa-miR-23c,hsa-miR-3664-3p,hsa-miR-1269a,hsa-miR-3912-3p,hsa-miR-3125,hsa-miR-502-3p,hsa-miR-548ap-3p,hsa-miR-585-3p,hsa-miR-194-3p,hsa-miR-4510,hsa-miR-4524a-3p,hsa-miR-486-3p,hsa-miR-3176,hsa-miR-196b-5p,hsa-miR-6844,hsa-miR-154-3p,hsa-miR-6794-3p,hsa-miR-1307-3p,hsa-miR-195-5p,hsa-miR-5695,hsa-miR-224-5p,hsa-miR-222-5p,hsa-miR-3622a-5p,hsa-miR-6891-5p,hsa-miR-7706,Disese Group
sample_12,10.0,44.0,18.0,340.0,1677.0,11.0,0.75,95560.5,106.0,224.5,45909.0,7895.08,664.08,80258.67,2691.0,14.5,44.33,1133107.14,214.0,228.0,7.0,49.0,122252.33,12.0,4166.33,268.5,13.0,15.5,5.0,372735.0,4477767.5,5.0,7.0,162.25,33.83,244.33,11.0,122.5,184.5,3973.33,0.0,23.0,96.0,1292.75,14.33,49536.67,2.0,5073.5,4.0,5.0,5.0,164.5,72.0,5.0,1.0,3.0,14620.42,16340.5,2.0,30.0,1058.83,4.0,1.0,6.0,50333.58,504.5,650.67,4327.67,164.0,110.66,188408.33,14.0,0.58,353.33,377.0,320.5,20.17,6.67,10.5,3.17,487.17,1136.17,0.0,32017.58,0.0,0.0,348.83,10.0,106.0,1742.62,1088.0,1.33,16.0,769.42,4.0,1052.5,20.33,3191.5,0.0,17.0,2.25,101.5,94.33,13064.67,0.0,20.0,133.5,3.0,81.0,110.0,0.0,13.66,14.0,653.0,5.0,2.0,249.33,3.0,9.0,27.0,21.0,3.5,245.66,118.83,20.0,78.0,9916.92,5.0,3163.0,63.0,90.75,18130.16,27.0,56.0,9.0,20.0,36.67,4945.5,7.0,53.5,1.0,4.0,3952.16,7.5,5.75,5.0,519.0,316.42,564.67,0.0,0.0,73.33,1.0,2164.14,1.0,13.0,3.0,380.83,3.0,16.0,3.0,0.67,3.0,3.0,0.67,12.5,62.0,7.0,0.0,26.5,1636.25,74.5,7.0,58.0,5.0,1.0,15.0,5.0,74.0,110.08,259.25,0.0,27.0,48.0,0.0,24.5,1103.34,2.0,2.0,1.0,43.0,102.5,1384.0,10776.42,21.33,185.0,0.0,3.5,0.75,65.0,0
sample_13,6.0,49.0,7.0,363.0,1260.5,7.0,1.5,71403.0,8.0,246.5,26757.5,7313.58,654.67,76438.92,3046.83,6.33,43.0,907331.1,162.0,197.0,2.0,32.0,126544.0,12.5,3356.0,242.0,7.5,15.0,5.0,377848.67,3525991.08,4.0,2.0,131.5,29.83,192.08,14.0,77.0,222.0,3436.5,0.0,28.0,104.0,811.25,8.17,53538.0,3.0,3902.25,4.5,2.0,2.0,113.5,46.0,8.0,1.0,5.0,9494.25,17657.5,0.0,30.0,1648.42,0.0,0.0,1.0,60666.33,450.17,560.67,3462.33,149.0,72.5,135842.58,8.0,0.25,352.0,414.0,238.5,16.83,5.75,8.0,2.08,458.0,1364.42,0.0,23188.75,0.25,0.0,299.25,1.0,84.5,1464.75,1019.0,1.67,30.0,625.83,8.0,1465.17,12.0,2976.0,3.0,11.0,1.0,71.0,13.0,12391.0,0.25,32.0,3.0,1.0,105.0,96.0,0.0,4.0,21.0,315.0,5.0,5.0,196.0,16.0,7.0,18.0,14.0,4.5,175.0,101.83,24.0,71.0,5209.5,11.0,1637.0,28.5,56.5,16609.16,23.0,55.0,6.0,27.0,20.5,4196.0,0.0,38.0,0.0,1.0,3497.34,6.0,6.0,4.0,421.0,287.25,525.25,3.0,0.0,41.67,1.0,1855.8,0.0,10.0,1.5,227.5,14.01,8.0,2.0,0.67,0.0,0.0,0.67,11.0,60.5,4.0,0.0,19.33,1805.33,79.5,3.0,38.5,3.0,4.0,4.5,15.0,65.0,4.5,240.25,0.0,27.0,61.0,0.0,23.38,1043.24,2.0,6.0,5.0,44.0,56.0,1341.0,7928.33,20.17,126.0,1.0,3.5,0.0,71.0,0
sample_14,23.5,37.0,9.0,231.0,957.5,6.0,3.5,104944.25,31.0,206.5,38005.34,8358.0,894.17,47300.0,2967.67,17.75,46.0,998615.48,282.5,359.0,7.0,75.0,114828.33,9.0,3486.5,439.75,30.0,37.0,7.0,290152.42,3259261.17,7.0,4.0,180.5,23.5,357.5,5.0,99.83,201.0,4713.0,0.0,39.0,94.0,947.25,17.0,37156.33,1.0,3891.0,3.5,9.0,6.0,209.83,56.0,5.0,7.0,1.0,10343.5,17861.0,3.0,21.0,645.58,0.0,1.0,6.0,39827.83,573.5,449.33,3999.0,185.5,74.66,133713.0,15.0,0.0,260.0,515.5,391.33,32.0,2.58,29.0,5.42,473.5,1075.67,0.0,26868.75,0.0,1.0,365.75,6.0,121.0,2088.5,1766.5,1.0,22.0,1037.0,1.0,803.5,25.0,3622.0,1.0,12.0,4.0,75.5,23.0,13143.5,0.0,22.0,184.5,4.0,72.0,117.0,0.0,3.34,7.0,467.0,3.0,1.0,211.0,0.83,9.0,16.0,13.0,5.0,287.0,119.33,16.0,72.5,4554.5,4.0,2767.83,57.0,111.0,13214.84,29.0,28.0,10.0,26.0,23.0,6365.0,1.0,41.5,2.0,2.0,2176.66,11.0,4.5,2.0,442.0,443.08,261.08,0.0,0.0,31.33,2.0,1381.98,4.0,13.0,4.5,359.54,6.0,10.0,0.0,1.0,1.5,2.0,1.0,8.0,41.33,3.0,0.0,29.0,1523.0,129.5,5.0,59.5,6.0,3.0,14.0,21.0,61.0,96.5,275.25,0.0,117.5,77.0,1.0,27.25,1347.59,2.0,3.0,3.0,48.0,93.0,1714.0,9244.08,15.0,181.0,0.0,13.0,0.0,84.0,0
sample_15,9.0,44.0,11.0,223.0,1272.5,7.0,4.0,185912.83,24.0,465.33,59470.0,15617.42,3866.75,27155.75,2500.0,38.25,30.5,1416219.62,206.0,271.0,4.0,90.0,121470.17,11.0,2308.5,291.0,27.0,33.5,6.0,272807.33,3211730.5,10.0,21.0,328.5,25.25,254.08,10.0,95.0,114.0,9453.5,0.0,35.0,89.0,967.33,19.67,29968.83,0.0,4163.5,1.5,1.0,4.0,69.0,63.0,8.0,33.0,1.0,3969.92,16519.5,0.0,31.0,727.17,0.0,0.0,5.0,33714.67,320.0,331.0,5989.0,1435.83,54.5,73699.25,20.0,0.0,177.5,558.5,109.83,25.75,2.0,11.5,8.0,738.83,625.67,0.0,7806.5,0.0,0.0,217.92,4.0,49.0,3509.33,769.0,1.0,16.0,1933.5,1.0,321.5,44.0,3999.33,0.0,7.0,3.0,142.5,33.5,6955.67,0.0,34.0,147.5,2.0,201.0,54.0,3.0,7.84,34.0,1161.0,0.0,0.0,262.0,1.0,6.0,17.0,5.0,8.0,789.5,216.5,47.0,79.0,2184.83,0.0,6243.25,38.0,38.83,7651.16,52.0,47.0,4.5,41.0,13.42,5049.5,1.0,24.0,0.0,1.0,622.0,16.0,9.75,2.0,366.0,420.92,233.25,1.0,0.0,39.5,2.0,2203.96,3.0,6.5,4.5,167.83,2.01,4.0,1.5,0.0,4.0,0.33,0.0,5.0,111.0,9.5,0.0,19.0,3294.83,46.0,10.5,98.0,4.0,1.0,6.0,23.0,38.0,11.0,395.5,0.0,121.0,50.5,0.0,8.5,1713.74,11.0,3.0,3.0,49.0,47.5,3102.0,7953.83,11.0,38.0,0.0,10.75,0.0,101.5,0
sample_16,9.5,49.5,8.0,367.0,1325.5,16.0,3.0,72512.67,41.0,263.33,30789.0,8325.17,799.67,76945.25,3600.83,12.0,22.5,975637.65,193.0,245.0,4.0,72.0,131765.17,10.0,4059.0,443.5,4.0,13.0,9.0,340826.92,3527068.67,1.0,8.0,175.25,25.0,228.08,4.0,78.0,169.5,3480.5,0.0,14.0,101.0,802.25,19.0,53534.67,2.0,4195.0,1.5,3.0,2.0,143.5,53.0,7.0,3.0,1.0,10776.0,18390.0,2.0,23.0,792.67,1.0,2.0,2.0,67269.75,653.33,572.33,3032.83,166.5,101.66,153126.33,9.0,0.0,392.75,469.0,408.5,19.83,6.17,19.5,3.25,417.5,1273.75,0.0,31523.25,0.5,0.0,338.0,0.0,117.0,1695.04,1620.5,1.0,32.0,834.5,1.0,1431.33,20.0,3793.5,0.0,16.0,2.0,84.0,47.0,13377.83,0.0,15.0,121.0,2.0,100.0,91.0,3.0,8.5,16.0,386.0,5.0,17.0,188.0,4.5,2.0,17.0,31.0,8.5,191.34,115.0,25.0,125.0,5247.75,4.0,1562.5,31.5,87.5,17797.34,27.0,40.0,6.0,20.0,20.5,5664.0,3.0,59.5,0.0,2.0,3817.66,5.0,4.17,1.0,509.0,464.5,586.83,5.0,0.0,54.0,4.0,2014.64,2.0,6.0,3.33,322.08,2.01,11.0,0.0,1.0,5.0,4.0,1.0,14.0,43.83,5.0,0.0,14.0,2067.5,88.33,5.0,60.0,3.0,2.0,12.0,14.0,90.0,60.0,273.08,0.0,25.5,67.0,0.0,31.33,721.0,0.0,2.0,9.0,42.0,82.5,1616.0,6957.75,28.0,109.0,0.0,5.75,0.0,80.0,0
sample_17,4.0,61.0,8.0,423.0,1840.5,9.0,2.0,94602.33,38.0,218.0,42293.16,9763.25,875.17,78997.5,3120.5,8.5,39.5,1218576.91,253.0,253.0,6.0,81.0,131933.17,17.5,4228.17,448.0,61.0,41.0,8.0,368519.0,4760660.75,10.0,7.0,175.5,28.67,255.67,4.0,76.5,206.0,4948.0,2.33,62.0,88.0,1217.5,17.33,58572.5,2.0,4602.0,4.5,6.0,2.0,177.0,83.0,7.0,4.0,2.0,11158.42,19125.0,0.0,40.0,653.67,0.0,0.0,3.0,50345.17,672.17,475.83,2855.5,168.0,124.0,186891.17,6.0,0.83,325.25,400.0,370.0,34.0,5.42,33.0,5.92,527.67,1377.08,0.0,28894.5,0.0,3.0,330.25,6.0,165.0,2545.12,1969.0,0.0,28.0,869.5,4.0,1430.17,36.0,3703.5,1.0,10.0,1.0,101.0,18.5,16201.5,0.33,43.0,171.5,8.0,96.0,133.0,3.0,8.66,15.0,537.0,5.0,2.0,217.5,26.0,6.0,16.0,7.0,7.5,196.34,152.5,18.0,89.0,6772.0,11.0,2255.5,49.0,84.0,20300.84,32.5,43.0,8.0,27.0,33.5,5517.5,1.0,52.0,0.0,2.0,3719.0,9.0,10.0,0.0,619.0,353.08,583.75,2.0,0.0,53.17,5.0,2036.64,0.0,14.0,2.5,383.75,6.99,17.83,0.0,0.67,4.0,0.0,0.67,13.0,65.33,7.0,0.0,33.5,2878.5,112.5,3.0,81.0,11.0,2.0,17.0,0.0,89.0,180.0,291.0,0.0,33.0,111.0,0.0,32.0,1101.34,3.0,2.0,2.0,92.0,88.17,1925.0,6547.83,20.5,163.0,2.0,7.5,0.0,92.0,0
sample_18,22.5,92.0,27.0,348.0,1474.0,16.0,2.5,126632.92,46.0,215.0,27854.0,9746.17,410.83,96763.83,2698.67,12.17,19.5,1272135.61,164.0,460.0,8.0,32.0,172301.0,8.5,3681.33,293.0,47.5,8.0,2.5,463757.17,3670888.0,3.0,11.0,109.83,17.0,150.5,4.0,108.5,625.83,2981.5,1.83,37.0,137.0,1294.5,8.33,56560.33,3.0,5332.0,1.0,5.0,4.0,217.92,39.0,7.0,5.0,0.0,13182.92,36440.0,4.0,54.0,1388.54,0.0,0.0,3.0,54934.08,764.17,720.0,3964.5,207.5,92.34,171703.25,5.33,1.33,308.5,865.5,310.0,18.5,7.67,8.0,5.25,477.17,1295.83,1.0,44574.83,0.0,0.0,248.92,3.0,126.0,1499.17,1162.5,0.33,11.0,1034.17,1.0,1330.33,16.0,2233.0,4.0,18.0,2.25,60.0,41.5,21435.17,0.33,24.0,116.5,9.0,117.0,68.0,1.0,7.0,50.0,366.0,2.0,2.0,335.0,17.0,5.0,22.0,26.0,6.0,165.0,98.33,21.0,59.0,5412.0,32.0,1811.0,52.5,86.0,18810.66,33.0,78.0,14.0,14.0,19.0,4487.5,2.0,34.5,1.0,1.0,4299.84,5.0,8.5,4.0,494.0,297.17,734.75,0.0,0.0,39.5,2.0,1802.48,0.0,10.5,4.5,290.37,6.0,8.0,3.0,1.33,2.0,1.0,1.33,7.5,66.33,8.0,0.0,30.33,2700.83,132.0,8.0,48.5,5.0,2.0,18.0,2.0,117.0,8.0,258.5,0.0,76.5,49.0,2.0,9.75,771.58,4.0,3.0,3.0,93.0,44.33,1083.0,11526.17,25.67,380.0,0.0,3.5,0.0,56.0,0
sample_19,3.0,36.0,4.0,209.0,1171.0,4.0,1.0,43487.83,20.0,128.33,23752.5,4730.67,430.0,38879.17,1943.5,20.5,53.5,601240.79,248.5,214.0,2.0,29.5,62467.5,9.0,3069.5,300.5,7.0,20.0,4.0,174504.67,2572737.33,2.0,0.0,108.0,27.5,254.75,12.0,58.0,108.0,3073.0,0.0,11.0,50.0,973.25,9.33,25083.83,1.0,2153.0,2.5,4.0,1.0,113.75,43.0,6.0,2.0,0.0,6445.17,10478.0,3.0,16.0,416.92,0.0,0.0,1.0,30969.83,437.33,184.0,1578.5,101.5,48.5,90199.83,3.0,0.75,211.0,280.0,159.5,15.0,6.5,9.5,1.75,314.5,608.83,0.0,16571.5,0.0,1.0,310.75,0.0,149.5,1716.5,1450.0,0.0,16.0,708.83,5.0,798.5,15.0,1919.67,1.0,8.0,0.0,56.0,19.0,8581.0,0.33,18.0,132.5,3.0,39.0,71.0,0.0,1.34,11.0,265.0,6.0,0.0,150.0,3.0,4.0,18.0,9.0,6.0,187.0,64.33,13.0,31.5,4311.83,2.0,1515.0,24.5,38.5,11099.16,13.0,23.0,4.0,28.0,19.5,3346.5,0.0,29.5,0.0,3.0,1914.66,6.0,6.0,1.0,364.0,243.42,300.5,4.0,0.0,32.0,3.0,1076.98,2.0,17.0,7.0,280.71,3.99,7.5,1.0,0.0,1.0,0.0,0.0,6.0,28.0,1.0,0.0,18.0,1040.33,87.0,0.0,50.5,4.0,0.0,3.0,13.0,45.0,3.0,184.5,0.0,31.0,67.0,1.0,14.5,804.0,7.0,5.0,1.0,36.0,55.17,1510.0,4810.0,8.0,80.0,2.0,7.5,0.0,81.0,0
sample_20,10.0,33.0,4.0,323.0,1426.5,4.0,2.0,84369.75,47.5,161.5,30059.0,6572.25,496.5,62564.5,2110.17,7.0,13.0,923612.02,183.0,331.0,9.0,31.33,99880.75,15.0,3995.5,229.5,2.0,18.0,0.0,253280.67,3726846.83,3.0,0.0,125.5,29.0,215.0,8.0,100.0,280.5,3882.83,0.0,31.0,72.0,912.5,8.67,40121.42,2.0,3163.0,2.0,1.0,7.0,147.25,49.0,7.0,3.0,1.0,9858.75,19085.5,1.0,34.0,1147.58,0.0,0.0,0.0,37988.17,614.0,399.0,3449.25,124.83,83.5,146412.33,7.5,1.0,224.17,499.0,193.0,22.0,6.42,4.5,3.08,319.5,988.5,0.0,25685.75,1.17,2.0,277.0,3.0,79.0,2070.92,1421.0,1.0,18.0,1069.0,2.0,1058.0,13.0,2886.0,3.0,16.0,1.33,69.5,37.0,13952.17,0.67,41.0,84.5,1.0,88.0,110.0,0.0,5.5,13.0,278.0,4.0,2.0,170.5,18.5,6.0,19.0,9.0,4.0,164.33,119.5,13.0,32.0,4776.67,5.0,2007.0,43.0,46.0,15619.84,26.0,71.0,6.0,20.0,29.0,3888.83,1.0,37.0,0.0,2.0,2680.0,3.0,6.25,1.0,445.0,291.17,513.33,0.0,1.5,23.0,1.0,1366.32,1.0,12.0,0.5,313.25,3.99,4.0,2.0,0.0,1.0,1.0,0.0,9.0,46.0,6.0,0.75,32.0,1758.5,106.5,5.0,43.5,5.0,4.0,6.0,6.0,66.0,5.0,245.92,0.0,43.0,85.0,0.0,14.0,701.08,2.0,1.0,2.0,62.0,45.5,1680.0,7700.67,22.0,152.0,2.0,6.25,0.0,63.0,0
sample_21,1.0,17.0,31.0,178.0,1087.83,7.0,3.0,119319.67,18.0,389.0,30132.16,15254.0,2462.17,35949.67,2226.0,21.67,6.0,1080106.31,180.0,279.0,5.0,40.0,142414.33,14.83,2077.5,293.0,55.0,5.0,3.0,271530.75,1901316.83,2.0,12.0,206.0,16.25,133.5,6.0,48.0,180.0,3438.5,0.0,24.0,108.0,972.5,11.5,29592.67,0.0,4730.0,2.0,14.0,1.0,174.0,46.5,6.0,21.0,5.0,7378.83,14935.83,1.0,20.0,892.92,0.0,1.0,5.0,44457.33,723.0,342.5,4335.0,1237.75,53.5,71392.5,11.0,0.0,265.5,858.0,163.0,8.0,2.92,2.33,4.67,683.5,690.58,0.0,11925.75,0.0,1.0,74.33,12.0,86.0,2166.0,383.0,1.0,14.0,498.33,0.0,333.0,13.0,2343.0,1.0,6.0,2.0,65.0,22.0,7933.33,0.0,7.0,166.25,1.0,294.0,16.5,2.0,2.66,31.0,1231.0,1.0,2.0,254.5,3.0,10.0,24.0,8.0,3.0,479.32,137.0,35.0,139.0,1682.33,1.0,2750.5,33.0,48.0,8352.16,37.0,43.0,1.66,22.0,6.0,3036.5,1.0,23.0,0.0,2.0,793.0,9.0,13.5,0.0,259.0,557.67,247.33,0.0,0.0,33.5,7.0,2620.46,2.0,4.0,18.83,151.42,3.99,1.0,1.0,0.0,0.33,0.0,0.0,1.0,87.0,7.0,0.0,11.0,4680.5,23.0,8.0,45.5,2.0,0.0,5.0,20.0,54.0,1.5,354.58,0.0,114.0,27.0,2.0,7.5,1415.58,2.0,5.0,3.0,56.0,33.0,1433.0,5494.0,11.67,48.0,1.0,6.5,1.0,54.0,0
sample_22,4.5,43.0,24.0,316.0,1443.5,7.0,5.83,135104.58,51.0,500.17,41207.16,18458.83,2809.0,44509.0,2652.83,29.25,17.0,1234320.06,283.0,221.0,8.0,64.0,175342.17,12.0,3024.83,350.0,23.5,13.0,3.5,307651.0,2410948.42,2.0,9.0,261.83,24.33,185.58,11.0,58.5,229.25,5711.0,0.0,19.0,95.0,1087.0,11.0,39904.67,0.0,5194.5,3.0,0.0,3.0,181.75,64.0,3.0,33.0,1.0,9000.17,21161.0,3.0,44.0,607.5,0.0,0.0,1.0,58509.0,589.83,339.0,4760.58,1441.33,50.0,105885.25,12.0,0.58,374.0,939.0,129.5,18.5,4.75,5.33,6.83,928.17,737.33,0.0,15522.75,0.5,1.0,139.25,9.0,79.0,3325.96,703.0,0.67,22.0,740.0,3.0,544.83,16.0,3155.83,0.0,11.0,1.5,93.0,15.5,10945.0,0.0,18.0,188.83,2.0,369.5,18.0,1.0,1.66,11.0,1361.0,0.0,2.0,234.0,9.0,20.0,30.0,9.0,4.0,729.0,178.0,50.0,171.0,2561.5,3.0,3953.5,38.0,39.5,13095.84,32.33,49.0,4.0,26.0,11.0,3276.0,1.0,36.5,0.0,2.0,983.84,8.5,13.25,2.0,358.5,624.17,355.0,0.0,2.0,40.5,3.0,3129.96,3.33,4.0,8.33,103.04,0.99,2.0,4.0,0.0,1.0,0.0,0.0,3.0,88.0,11.0,0.0,16.0,8305.17,57.0,7.0,68.25,1.0,2.5,7.0,18.0,73.0,3.0,410.42,0.0,58.5,42.0,1.0,13.0,1863.5,4.0,2.0,4.0,48.0,44.5,1905.0,6939.0,9.67,50.0,0.0,7.0,0.0,86.0,0
sample_23,3.0,22.0,62.0,206.0,1134.0,8.0,4.0,78018.17,21.0,238.0,20490.16,10460.83,727.67,43081.0,2171.0,7.0,13.0,1036532.48,231.0,163.5,7.0,46.0,103522.0,8.0,3128.5,462.5,6.0,6.0,2.0,253616.08,2268163.5,3.0,1.0,141.5,15.0,135.5,5.0,42.5,173.83,2231.0,0.0,24.0,85.5,812.25,9.0,38153.33,0.0,3043.0,1.5,7.0,3.0,175.5,27.0,5.0,0.0,0.0,9071.67,16615.0,3.0,14.0,457.5,1.0,6.0,2.0,43031.92,739.83,377.17,2415.0,192.0,68.16,107869.17,13.0,0.25,261.75,419.0,366.0,7.0,3.0,12.0,1.25,375.5,740.5,0.0,21766.75,0.0,0.0,143.67,3.0,186.0,1372.75,1006.0,1.0,12.0,502.5,3.0,831.25,20.0,2264.0,3.0,11.0,1.0,51.0,17.0,11383.0,0.33,14.0,124.0,3.0,100.0,38.0,3.0,2.0,13.0,537.0,3.0,2.0,188.5,2.0,5.0,14.0,10.0,4.5,216.34,77.5,21.5,180.0,2942.33,2.0,1170.0,33.83,70.0,11167.84,21.0,38.0,4.66,23.0,16.0,4567.0,2.0,31.0,0.0,2.0,1672.34,8.0,3.83,3.0,392.83,479.83,272.25,1.0,0.0,32.5,5.0,1443.64,8.0,5.0,1.0,126.12,0.99,9.0,1.0,0.25,0.5,0.0,0.25,7.0,44.5,6.0,0.0,9.0,3025.67,47.0,5.0,39.5,2.0,1.0,4.5,5.0,52.0,38.5,176.33,0.0,19.0,44.5,0.0,12.0,634.76,1.0,1.0,5.0,53.0,41.83,999.5,4382.5,8.67,57.0,0.0,2.5,0.0,60.5,0
sample_24,10.0,32.0,11.0,370.0,1306.5,10.0,3.33,123298.08,34.0,365.0,21633.84,20519.17,936.17,60559.17,3577.25,12.0,28.0,1478345.87,243.0,232.5,6.0,23.0,157621.0,8.5,3964.0,656.0,14.0,6.0,3.0,382134.17,3161989.08,3.0,2.0,165.83,24.5,245.67,6.0,59.0,157.0,3118.0,1.0,25.0,110.0,1455.0,7.67,57468.67,3.0,5495.5,2.5,4.0,5.0,207.25,54.0,8.0,0.0,0.0,12385.67,27730.0,0.0,25.0,1023.29,1.0,1.0,5.0,59152.67,910.83,491.5,3271.58,310.5,79.34,167417.67,13.0,0.25,268.33,483.5,354.5,12.5,6.08,2.0,3.0,531.33,1096.58,2.0,20958.0,0.5,0.0,157.0,4.0,347.0,1607.17,1266.0,1.33,18.0,645.0,9.0,1219.17,19.0,3304.0,0.0,7.0,0.33,74.0,16.0,16710.17,0.0,14.0,2.0,0.0,102.0,70.0,2.0,5.34,33.0,743.0,2.0,1.0,260.5,2.0,8.0,18.0,21.0,5.5,272.0,122.5,20.0,224.0,5154.17,7.0,1502.0,37.5,58.5,15698.34,12.25,44.0,8.66,20.0,23.12,4549.0,4.0,50.0,0.0,3.0,2704.34,7.0,5.25,0.0,518.0,457.5,332.25,0.0,1.0,31.0,1.0,2244.14,4.0,14.0,11.0,130.25,0.99,8.0,1.0,1.0,1.0,0.0,1.0,8.0,65.5,7.5,0.0,15.0,4313.67,114.0,16.0,52.0,2.0,3.5,9.0,3.0,82.0,4.5,281.17,0.0,42.0,64.5,2.0,11.67,930.5,6.0,1.0,3.0,60.0,51.0,1216.0,5559.5,13.5,78.0,6.0,3.0,0.0,79.5,0
