,CSN1S2AP,PFN5P,SMBD1P,OFCC1,AC123767.1,AC008163.1,LINC00301,ADAM5,CYMP,SULT1D1P,AP002008.2,AC231760.1,GLYCAM1,AL359273.2,SSPOP,NRADDP,AL109809.1,MFSD13B,LINC01529,Diagnosis
RNA41_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116936511,1.547890026,0.639057702,0.0,0.0,0
RNA418_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229731093,0.717874551,2.422169831,0.04199862,0.115314578,0
RNA431_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088104453,1.851043441,1.87780089,0.058766262,0.124159811,1
RNA44_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102806433,0.77138845,1.027125744,0.0,0.217323142,1
RNA442_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.130194372,1.639320935,0.112789949,0.0,0.035797463,0
RNA454_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149510949,1.322630263,1.164726175,0.052513378,0.088721554,0
RNA457_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156367688,1.104287526,2.042146862,0.030695847,0.103701812,0
RNA466_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31148655,1.246531465,3.073633283,0.0,0.100601706,0
RNA471_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208102812,1.014988592,2.104799843,0.086778741,0.097756756,0
RNA476_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114964612,0.862659061,1.318748637,0.0,0.081014989,0
RNA483_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146201023,1.755253724,2.455111271,0.106393586,0.067429608,0
RNA488_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294422644,0.797046217,1.059567196,0.11553171,0.227802875,0
RNA499_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177099204,1.503002804,1.446211298,0.162968587,0.086062681,0
RNA50_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139481916,1.033261522,0.035148698,0.0,0.12547318,1
RNA504_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170904519,1.633867756,0.805727122,0.06335041,0.178410288,0
RNA519_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151100706,1.410945565,0.715684241,0.0,0.113572532,0
RNA52_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177841878,0.167023811,0.0,0
RNA521_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103898123,1.003311983,1.123279252,0.030139323,0.095491267,0
RNA528_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236379407,1.085071177,2.181544658,0.0,0.097978795,0
RNA53_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121015124,0.575097533,1.940449463,0.067280797,0.262926171,0
RNA535_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155993223,1.872816483,0.603159091,0.0,0.197406001,1
RNA58_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126220904,1.187747729,2.464069813,0.091021875,0.048077028,0
RNA6_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146822493,1.057611851,1.313562691,0.0,0.147137889,0
RNA60_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113337649,0.560309718,1.815703164,0.177903471,0.075169636,0
RNA62_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152732747,1.344692805,2.371189661,0.045300419,0.08609855,0
RNA63_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168822495,1.777933876,2.560177319,0.039510033,0.008345999,0
RNA64_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030037867,0.72129208,1.351621662,0.200422733,0.008470881,0
RNA66_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075314739,1.321560961,1.166223234,0.115952484,0.02449351,0
RNA67_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129403405,0.876371364,1.885864865,0.265633362,0.046756282,0
RNA69_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152451088,1.195295652,1.510467254,0.04152904,0.228003664,0
RNA7_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11866451,0.474873595,2.302849818,0.0,0.120782703,0
RNA72_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097643131,0.915854036,2.095602127,0.12212792,0.120402476,0
RNA74_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128287487,0.992551373,0.202551291,0.114124048,0.136601952,0
RNA75_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064993752,0.90512551,0.369408188,0.034683248,0.080606141,0
RNA78_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144211539,1.462065563,1.935322438,0.042776141,0.063231223,1
RNA86_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101933643,1.44631248,1.426471864,0.082437557,0.095766931,1
RNA87_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122016732,0.627828999,1.155845918,0.046532158,0.029476987,0
RNA89_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087170239,1.118730684,1.032187996,0.0,0.059307951,0
RNA94_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54170076,0.206822475,0.0,1
RNA95_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327413933,0.505966896,1.842506908,0.086495282,0.063963352,0
RNA97_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175753018,0.59631111,2.307286566,0.152927804,0.0,0
RNA98_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12339325,0.621244495,1.084047004,0.053111972,0.134630865,1
R_JS001_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241636179,1.294305105,1.496665268,0.09917927,0.188605488,1
R_JS002_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177510243,1.760512241,1.858210732,0.171644449,0.123271408,1
R_JS003_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460276168,1.573352142,1.930265717,0.042660112,0.198205738,1
R_JS004_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258269759,2.155388668,1.417199182,0.294210494,0.159799334,1
R_JS005_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247175273,2.017915965,2.458545672,0.131919762,0.139341542,1
R_JS006_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219618582,1.038668878,3.112726895,0.088802445,0.103166188,1
R_JS007_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21195987,2.035782417,1.254914727,0.040420499,0.110949698,1
R_JS008_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253607162,1.522372777,3.53048378,0.137205458,0.08693864,1
R_JS009_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.354800113,0.746532166,2.208873557,0.195247531,0.1546422,1
R_JS010_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142965776,1.198251844,3.225990191,0.107990268,0.144460528,1
R_JS011_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271508458,1.314392269,4.433516295,0.204522821,0.240692761,1
R_JS012_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204955394,1.815218952,2.546237086,0.224148699,0.189405954,1
R_JS013_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300331133,0.917246184,1.59095134,0.105448146,0.170786294,1
R_JS014_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185838914,1.04994661,2.545710782,0.12154191,0.143789839,1
R_JS015_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359988905,2.107390448,4.05127439,0.158784191,0.092239882,1
R_JS016_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.240481137,2.383593351,4.006458499,0.149253495,0.094576287,1
R_JS017_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.413307021,1.984818519,2.64638168,0.0,0.077666845,1
R_JS018_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277358982,1.808820947,2.027283284,0.137069613,0.260588149,1
R_JS019_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196349944,1.55823032,1.497434856,0.044420539,0.178221894,1
R_JS020_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.369219557,2.472128692,1.429300557,0.142094325,0.070051287,1
R_JS021_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.330019187,2.07540904,3.87056979,0.083891169,0.053155181,1
R_JS022_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.227027142,1.341873219,2.729594985,0.139798063,0.177203424,1
R_JS023_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451036178,1.324525785,2.68959361,0.0,0.100606396,1
R_JS024_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325524908,1.116598096,2.626178484,0.190908819,0.110908799,1
R_JS025_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351089103,1.232702945,2.666935761,0.044201396,0.196050417,1
R_JS026_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.320270202,1.256307805,2.32798538,0.084606197,0.134070404,1
R_JS027_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211354212,1.582175836,1.354376418,0.06635941,0.091110869,1
R_JS028_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.410830708,1.015462531,2.432335449,0.08062875,0.119204943,1
R_JS029_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443581502,1.495515404,1.331117451,0.202700338,0.111324857,1
R_JS030_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409786688,1.153062278,2.312433625,0.042715974,0.054139287,1
R_JS031_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29597519,1.883748789,1.731196792,0.237893513,0.130665766,1
R_JS032_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329217053,0.889301779,1.494337866,0.036592587,0.092789854,1
R_JS033_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166984989,1.309234557,1.735155058,0.136420697,0.07684253,1
R_JS034_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424772645,1.917192405,4.424663149,0.127865716,0.216051844,1
R_JS035_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235920703,1.86344453,1.948148117,0.124255477,0.113741988,1
R_JS036_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36798533,1.643884464,2.094217826,0.114196956,0.233168102,1
R_JS037_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184536007,1.520423444,1.628110277,0.048302509,0.142775751,1
R_JS038_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479677772,1.439713602,3.286213538,0.091437265,0.135204838,1
